UID	Lncbook_id	Lncbook_trans_id	transcript_id
ELH000147	HSALNG0000229	HSALNT0000555	HSALNT0000555
ELH000004	HSALNG0000754	HSALNT0001568	HSALNT0001568
ELH000006	HSALNG0000758	HSALNT0001572	HSALNT0001572
ELH000007	HSALNG0000760	HSALNT0001574	HSALNT0001574
ELH000007	HSALNG0000760	HSALNT0290232	HSALNT0290232
ELH000007	HSALNG0000760	HSALNT0290233	HSALNT0290233
ELH000008	HSALNG0000761	HSALNT0001575	HSALNT0001575
ELH000008	HSALNG0000761	HSALNT0001576	HSALNT0001576
ELH000008	HSALNG0000761	HSALNT0001577	HSALNT0001577
ELH000008	HSALNG0000761	HSALNT0001582	HSALNT0001582
ELH000008	HSALNG0000761	HSALNT0290234	HSALNT0290234
ELH000008	HSALNG0000761	HSALNT0290235	HSALNT0290235
ELH000008	HSALNG0000761	HSALNT0290236	HSALNT0290236
ELH000008	HSALNG0000761	HSALNT0290237	HSALNT0290237
ELH000008	HSALNG0000761	HSALNT0290238	HSALNT0290238
ELH000088	HSALNG0001268	HSALNT0002408	HSALNT0002408
ELH000130	HSALNG0001461	HSALNT0002762	HSALNT0002762
ELH000130	HSALNG0001461	HSALNT0289387	HSALNT0289387
ELH000130	HSALNG0001461	HSALNT0290648	HSALNT0290648
ELH000135	HSALNG0001515	HSALNT0002853	HSALNT0002853
ELH000137	HSALNG0001533	HSALNT0002878	HSALNT0002878
ELH000137	HSALNG0001533	HSALNT0002879	HSALNT0002879
ELH000137	HSALNG0001533	HSALNT0002881	HSALNT0002881
ELH000140	HSALNG0001535	HSALNT0002883	HSALNT0002883
ELH000144	HSALNG0001536	HSALNT0002884	HSALNT0002884
ELH000144	HSALNG0001536	HSALNT0002885	HSALNT0002885
ELH000144	HSALNG0001536	HSALNT0002886	HSALNT0002886
ELH000144	HSALNG0001536	HSALNT0002887	HSALNT0002887
ELH000145	HSALNG0001537	HSALNT0002888	HSALNT0002888
ELH000146	HSALNG0001538	HSALNT0002889	HSALNT0002889
