Name	NCBI_gene_Id	NONCODEId
LINC-PINT	378805	NONHSAG097344.2
EPB41L4A-DT	54508	NONHSAG041250.2
MEG3	55384	NONHSAG069030.2
LINC00261	140828	NONHSAG031452.2
CCAT2	101805488	NONHSAG099120.1
LIVAR	102724895	NONHSAG024117.2
XIST	7503	NONHSAG054780.3
TUG1	55000	NONHSAG033691.3
GAS5	60674	NONHSAG003504.3
UC.134	110599565	N.A.
SRA1	10011	NONHSAG112716.1
DGCR5	26220	NONHSAG033254.3
ZNF674-AS1	401588	NONHSAG054360.3
ZFAS1	441951	NONHSAG081583.2
LINC00052	145978	NONHSAG017783.2
PRAL	109245082	N.A.
CPS1-IT1	29034	NONHSAG030410.2
TUSC7	285194	NONHSAG035806.2
WT1-AS	51352	NONHSAG007984.3
LINC01018	255167	NONHSAG039749.3
CASC2	255082	NONHSAG006966.3
TRERNA1	100887755	NONHSAG031991.2
HOTTIP	100316868	NONHSAG047197.2
NPTN-IT1	101241892	NONHSAG017379.2
HULC	728655	NONHSAG042970.2
CYTOR	112597	NONHSAG077527.2
LNCRNA-ATB	114004396	NONHSAG068618.1
JPX	554203	NONHSAG054791.3
AIRN	100271873	NONHSAG045306.2
KCNQ1OT1	10984	NONHSAG007431.3
MIR31HG	554202	NONHSAG102572.2
FLVCR1-DT	642946	NONHSAG004247.3
LINC00032	158035	NONHSAG051958.2
MIR22HG	84981	NONHSAG020474.3
DLX6-AS1	285987	NONHSAG048270.3
NORAD	647979	NONHSAG031696.3
LNCTAM34A	102724571	NONHSAG000311.3
PANDAR	101154753	NONHSAG094129.1
BACE1-AS	100379571	NONHSAG009728.2
ATXN8OS	6315	NONHSAG013730.2
UCA1	652995	NONHSAG025011.3
RMRP	6023	NONHSAG052119.2
RMST	196475	NONHSAG064962.2
SNHG14	104472715	N.A.
HOTAIR	100124700	NONHSAG011264.3
PXN-AS1	100506649	NONHSAG012505.3
FOXD3-AS1	100996301	NONHSAG001696.3
NPSR1-AS1	404744	NONHSAG047319.2
HOXA-AS3	100133311	NONHSAG096230.2
MIR99AHG	388815	NONHSAG083289.2
E2F4	1874	N.A.
ZEB2-AS1	100303491	NONHSAG029467.3
IPW	3653	NONHSAG016307.3
EGOT	100126791	NONHSAG034316.3
LINC01426	100506385	NONHSAG082891.2
MIR7-3HG	284424	NONHSAG024540.3
PCAT14	101978785	NONHSAG083615.1
PCAT6	100506696	NONHSAG003976.3
HEIH	100859930	NONHSAG042476.3
MIR155HG	114614	NONHSAG032560.3
MSC-AS1	100132891	NONHSAG050493.2
EIF3J-DT	645212	NONHSAG016741.3
HOXA11-AS	221883	NONHSAG047191.3
PDCD4-AS1	282997	NONHSAG006865.3
RBM5-AS1	100775107	NONHSAG035103.2
MIAT	440823	NONHSAG033589.3
FOXD2-AS1	84793	NONHSAG001375.3
LINC00707	100507127	NONHSAG005153.3
PCAT7	101928099	NONHSAG052908.3
CDKN2B-AS1	100048912	NONHSAG101229.2
ELFN1-AS1	101927125	NONHSAG046781.3
KTN1-AS1	100129075	NONHSAG015044.3
SBF2-AS1	283104	NONHSAG007631.2
AFAP1-AS1	84740	NONHSAG037420.3
HNF1A-AS1	283460	NONHSAG012534.3
LPP-AS2	339929	NONHSAG111667.1
MNX1-AS1	645249	NONHSAG049288.3
TP73-AS1	57212	NONHSAG000195.3
LINC00473	90632	NONHSAG045383.2
LINC00673	100499467	NONHSAG022655.3
LINC00364	100874145	NONHSAG013708.2
LINC00628	127841	NONHSAG004026.3
NNT-AS1	100652772	NONHSAG040320.3
AGAP2-AS1	100130776	NONHSAG064784.1
BABAM2-AS1	100302650	NONHSAG027342.2
FEZF1-AS1	154860	NONHSAG096627.2
ZEBTR	113391337	N.A.
SNHG5	387066	NONHSAG044283.3
PTCSC1	100302522	N.A.
NKILA	105416157	NONHSAG032126.3
CAMTA1-DT	110841581	NONHSAG000253.3
NBAT1	729177	NONHSAG043159.3
PACERR	103752588	NONHSAG057043.2
NRON	641373	NONHSAG053456.2
SPRY4‐IT1	100642175	NONHSAG091284.1
FGF14‐AS2	283481	NONHSAG014098.2
FGF13-AS1	100129662	NONHSAG055418.2
IATPR	101929447	N.A.
DLEU7-AS1	100874074	NONHSAG013534.3
ASAP1-IT1	29065	NONHSAG051291.2
BANCR	100885775	NONHSAG052510.2
PCA3	50652	NONHSAG052609.2
SChLAP1	101669767	NONHSAG029985.2
SNHG20	654434	NONHSAG022845.2
GAPLINC	100505592	NONHSAG075363.2
BLACAT1	101669762	NONHSAG004054.2
DLEU2	8847	NONHSAG013515.3
SOX2-OT	347689	NONHSAG036783.3
FAS-AS1	100302740	NONHSAG006477.2
LUCAT1	100505994	NONHSAG041002.3
TP53COR1	102800311	N.A.
LINC00173	100287569	NONHSAG012423.3
LINC00857	439990	NONHSAG006362.2
WWOX-AS1	102724047	NONHSAG020053.2
LUNAR1	104564224	NONHSAG018058.2
HOTAIRM1	100506311	NONHSAG096227.2
FENDRR	400550	NONHSAG020218.3
CEBPA-DT	80054	NONHSAG025485.3
INHBA-AS1	285954	NONHSAG047433.3
MIR4435-2HG	541471	NONHSAG056025.3
THORLNC	100506797	N.A.
DANCR	57291	NONHSAG037936.3
PCGEM1	64002	NONHSAG030129.3
GAS5-AS1	100506046	NONHSAG003505.3
LINC00525	84847	NONHSAG047544.3
CRNDE	643911	NONHSAG072176.2
CASC15	401237	NONHSAG056029.3
HOXA-AS2	285943	NONHSAG047182.2
SNHG6	641638	NONHSAG050423.2
LNCARSR	102723932	N.A.
LINC00472	79940	NONHSAG094269.2
LINC01551	387978	NONHSAG014591.2
MCM3AP-AS1	114044	NONHSAG033121.3
