Name	Reason	Role	PMID
LINC-PINT	[Literature] LINC-PINT suppresses tumour cell proliferation, migration and invasion through targeting miR-374a-5p in ovarian cancer.	Tumor suppressor gene	32638404
EPB41L4A-DT	[Literature] The long non-coding RNA EPB41L4A-AS2 inhibits tumor proliferation and is associated with favorable prognoses in breast cancer and other solid tumors.	Tumor suppressor gene	26980733
MEG3	[Literature] MEG3 induces accumulation of p53 (TP53) protein, stimulates transcription from a p53-dependent promoter, and selectively regulates p53 target gene expression.MEG3 is a lncRNA tumor suppressor.Loss of MEG3 expression in various human tumors has been well documented. Re-expression of MEG3 inhibits proliferation, induces apoptosis, and inhibits anchorage-independent growth of human tumor cells.	Tumor suppressor gene	22393162
LINC00261	[Literature] LINC00261 as a tumor suppressor that blocks cellular proliferation by activating the DNA damage response and suggest that epigenetic therapy to inhibit DNA methylation may enhance treatment of LUAD.	Tumor suppressor gene	30796052
CCAT2	[Literature] Knockdown of long non coding RNA CCAT2 suppresses the progression of thyroid cancer by inhibiting the Wnt/β catenin pathway.	Oncogene	33125134
LIVAR	[Literature] knockdown of lnc18q22.1 resulted phenotypes ranging from reduced cell growth to lethality.	General	28073183
XIST	[Literature] Upregulation of long noncoding RNA XIST has anticancer effects on ovarian cancer through sponging miR-106a.	Tumor suppressor gene	33400246
TUG1	[Literature] knockdown of TUG1 could impair HCC cells proliferation, invasion and induce cell apoptosis both in vitro and vivo.	Oncogene	26336870
GAS5	[Literature] growth arrest-specific transcript 5 (GAS5) that induces apoptosis in breast and prostate cancers by inhibiting several responsive genes leading to altering various cellular processes.	Tumor suppressor gene	23443164
LncRNA-AF113014	[Literature] AF113014 acts as a tumor suppressor by regulating the expression of the tumor suppressor gene,Egr2 through interaction with miR-20a causing a decrease in cellular proliferation	Tumor suppressor gene	28542387
UC.134	[Literature] Uc.134 is reported to be significantly downregulated in HCC cells; its overexpression suppresses HCC  by inhibiting cellular invasion and proliferation via repression of CUL4-mediated ubiquitination of LATS1 and activation of YAPS127 phosphorylation.	Tumor suppressor gene	28420424
SRA1	[Literature] SRA1 is one of the downregulated RNAs in HCC cells that serves as a tumor suppressive through  its regulation of tumor size and serum glucose levels.	Tumor suppressor gene	28085012
DGCR5	[Literature] LncRNA DGCR5 plays a tumor-suppressive role in glioma via the miR-21/Smad7 and miR-23a/PTEN axes.	Tumor suppressor gene	33085646
ZNF674-AS1	[Literature] lncRNA ZNF674-AS1 is found to be downregulated in HCC patients with significant relation to poor  prognosis in patients;low ZNF674-AS1 expression was significantly associated with clinical stage, histopathologic grading, and cancer distal metastasis. The Kaplan–Meier analysis showed that patients with low levels of ZNF674-AS1 expression tended to live a shorter life than those with high levels.ZNF674-AS1 may be a tumor suppressor gene.	Tumor suppressor gene	27896271
ZFAS1	[Literature] ZNFX1-AS1 is significantly downregulated in HCC  and its overexpression suppressed cell proliferation,  colony formation and promoted cell apoptosis.	Tumor suppressor gene	27574442
LINC00052	[Literature] LINC00052 is one of the tumor  suppressor lncRNAs as its upregulation inhibit cell invasion and proliferation abilities of HCC cells which is achieved through regulating NTRK3 expression by establishing complementary base pairing with miR-128 and miR-485-3p.	Tumor suppressor gene	27351280
PRAL	[Literature] PRAL is a tumor suppressor lncRNA present on chromosome 17p13.1 usually in low levels in HCC patients and its overexpression inhibits tumor growth. This occurs due to the binding of PRAL to HSP90 which enhances its binding to p53,opposes MDM2 induced p53 degradation hence promoting HCC cell apoptosis.	Tumor suppressor gene	27275496
CPS1-IT1	[Literature] Long noncoding RNA CPS1-IT1 suppresses the metastasis of hepatocellular carcinoma by regulating HIF-1α activity and inhibiting epithelial-mesenchymal transition.	Tumor suppressor gene	27248828
