UID,organism,transcript_id,adipose,adrenal,brain,brain_R,breast,colon,fId
ELM000004,Mouse,NONMMUT000750.2,0,0.14132,0,0.000000000000385,0.898498,0.0000000136,2304
ELM000004,Mouse,NONMMUT000751.2,0,0.000000339,0,0.00000026,0.000000749,0.0115937,2305
ELM000004,Mouse,NONMMUT000752.2,0,0.197188,0,0.0386255,0.193932,0.0515348,2306
ELM000004,Mouse,NONMMUT000753.2,0,2.7e-111,0,0,2.4e-65,0,2307
ELM000004,Mouse,NONMMUT000754.2,0,0.0790123,0,0.0279036,0.106569,0,2308
ELM000004,Mouse,NONMMUT000755.2,0.00810457,0.160899,0,0.0749918,0.104846,0.036313,2309
ELM000018,Mouse,NONMMUT003409.2,0,0,0,0,0,0,2310
ELM000018,Mouse,NONMMUT003410.2,0,0,0,0,0,0,2311
ELM000018,Mouse,NONMMUT003411.2,0,0,0,0,0,0,2312
ELM000018,Mouse,NONMMUT003412.2,0,0,0,0,0,0,2313
ELM000018,Mouse,NONMMUT003413.2,0,0,0,0,0,0,2314
ELM000018,Mouse,NONMMUT003414.2,0,0,0,0.0931728,0.0281686,0,2315
ELM000018,Mouse,NONMMUT003415.2,0,0,0,0,0,0,2316
ELM000018,Mouse,NONMMUT003416.2,0,0,0,0,0,0,2317
ELM000018,Mouse,NONMMUT003417.2,0,0,0,0.00415186,0.0144004,0.00000000000122,2318
ELM000018,Mouse,NONMMUT003418.2,0,0,0,0,0,0,2319
ELM000018,Mouse,NONMMUT003419.2,0,0,0,0,0,0,2320
ELM000018,Mouse,NONMMUT003420.2,0,0,0,0,0,0,2321
ELM000018,Mouse,NONMMUT003421.2,0,0,0,0,0,0,2322
ELM000018,Mouse,NONMMUT003422.2,0,0,0,0,0,0,2323
ELM000018,Mouse,NONMMUT003423.2,0,0,0,0,0,0,2324
ELM000018,Mouse,NONMMUT003424.2,0,0,0,0,3.17e-33,0.000000000897,2325
ELM000018,Mouse,NONMMUT003425.2,0,0,0,0,0,0,2326
ELM000018,Mouse,NONMMUT003426.2,0,0,0,0,0,0,2327
ELM000018,Mouse,NONMMUT003430.2,0,0,0,0,0,0.0336332,2328
ELM000018,Mouse,NONMMUT003433.2,0,0,0,0,0,0,2329
ELM000018,Mouse,NONMMUT003435.2,0,0,0,0,0,0,2330
ELM000018,Mouse,NONMMUT003436.2,0,0,0,0,0,0,2331
ELM000018,Mouse,NONMMUT003439.2,0,0,0,0.0558071,0.0000042,0,2332
ELM000018,Mouse,NONMMUT003440.2,0,0,0,0,0,0,2333
ELM000009,Mouse,NONMMUT015694.2,4.19e-300,0,0,7.55e-29,1.04e-77,3.2e-226,2334
ELM000009,Mouse,NONMMUT015695.2,0.00753629,1.6e-148,0.00000000034,0.034459,0.000000349,0.0000000000000153,2335
ELM000009,Mouse,NONMMUT015696.2,0,0,0,1.73e-26,3.49e-40,5e-53,2336
ELM000009,Mouse,NONMMUT015697.2,0.0158157,0.0448371,0,0.0518555,0.0686844,0.0230996,2337
ELM000009,Mouse,NONMMUT015698.2,0,0,0,2.17e-20,3.99e-103,0,2338
ELM000009,Mouse,NONMMUT015699.2,6.77e-214,0,0.00833689,0.00509924,0.0740843,0.0306757,2339
ELM000009,Mouse,NONMMUT015700.2,0,0,0,0,1.55e-106,0,2340
ELM000009,Mouse,NONMMUT015703.2,0.0666152,0.221244,0.0139321,0.050783,0.0911325,0.025405,2341
ELM000009,Mouse,NONMMUT015706.2,0,0,1.03e-26,6.95e-111,1.11e-143,0.00012994,2342
ELM000009,Mouse,NONMMUT015707.2,0,0,0,4.24e-90,2.64e-204,1.07e-274,2343
ELM000009,Mouse,NONMMUT015708.2,0,0,3.08e-30,9.13e-147,1.37e-128,3.76e-111,2344
ELM000009,Mouse,NONMMUT015709.2,0.00000261,3.56e-213,0.00000000488,0.0000000956,0.00000000457,0.000000196,2345
ELM000009,Mouse,NONMMUT015710.2,0,0,0,0.0754419,0,0,2346
ELM000009,Mouse,NONMMUT015711.2,0,0,0,0,0,0,2347
ELM000009,Mouse,NONMMUT015714.2,6.2e-239,0,0.00000000899,5.47e-85,0.114209,0.00017864,2348
ELM000009,Mouse,NONMMUT015725.2,0.00119678,0.00711602,0.000945267,0.0058158,1.1e-27,3.88e-41,2349
ELM000008,Mouse,NONMMUT021285.2,0,0,0,0,0,0,2350
ELM000008,Mouse,NONMMUT021286.2,0,0,0,0,0,0,2351
ELM000008,Mouse,NONMMUT021287.2,0,0,0.0000102,0.000000279,0.000000235,0.000000158,2352
ELM000008,Mouse,NONMMUT021288.2,0,0,0.0203748,0.00531755,0.00229202,0.00442115,2353
ELM000016,Mouse,NONMMUT028986.2,0,0,0,0.00881579,0.0101536,0.0391703,2354
ELM000017,Mouse,NONMMUT030251.2,0,0.00000000169,0,0.00000000188,0.0262826,0.00163762,2355
ELM000003,Mouse,NONMMUT037986.2,0,0,0,0.01295,5.11e-22,9.14e-31,2356
ELM000003,Mouse,NONMMUT037987.2,0,0,0,0.0000000000000128,0.0575579,1.64e-16,2357
ELM000003,Mouse,NONMMUT037988.2,0,0,0,0.000000902,0.0000000433,0.00000162,2358
ELM000003,Mouse,NONMMUT037989.2,0,0,0,0.0000000000886,0.000000000341,2.64e-41,2359
ELM000003,Mouse,NONMMUT037990.2,0,0,0,3.08e-55,0.0000000745,0.0000000000000503,2360
ELM000015,Mouse,NONMMUT038963.2,0.00221236,0.0148089,0.0082441,0.00882958,0.0660445,0.0293834,2361
ELM000022,Mouse,NONMMUT040350.2,0,0,0,0.0533258,0.047832,0.0152527,2362
ELM000022,Mouse,NONMMUT040351.2,0,0,0,1.4e-191,0.036949,0.0302589,2363
ELM000022,Mouse,NONMMUT040352.2,0,0,0,0,1.12e-177,6.1e-277,2364
ELM000022,Mouse,NONMMUT040353.2,0,0,0,0.0191275,0.0000000000237,2.43e-23,2365
ELM000022,Mouse,NONMMUT040355.2,0,0,0,0,1.98e-127,1.45e-233,2366
ELM000022,Mouse,NONMMUT040356.2,0,0,0,0,2.7e-280,0,2367
ELM000022,Mouse,NONMMUT040357.2,0,0,0,0,1.93e-157,0.00952616,2368
ELM000022,Mouse,NONMMUT040359.2,0,0,0,0.117424,0.0164589,0.000157384,2369
ELM000022,Mouse,NONMMUT040361.2,0,0,0,4.84e-84,0,3.92e-118,2370
ELM000022,Mouse,NONMMUT040362.2,0,0,0,0.00325986,1.16e-68,0.00158174,2371
ELM000022,Mouse,NONMMUT040363.2,0,0,0,0.000964612,6.48e-265,0.00438492,2372
ELM000022,Mouse,NONMMUT040364.2,0,0,0,0,0,0,2373
ELM000002,Mouse,NONMMUT042546.2,0,0,0,0.0268739,0.0368248,0.0000000592,2374
ELM000002,Mouse,NONMMUT042547.2,0,0,0,0,0,0,2375
ELM000002,Mouse,NONMMUT042548.2,0,0,0,0,0,0,2376
ELM000002,Mouse,NONMMUT042549.2,0,0,0,0,0,0,2377
ELM000002,Mouse,NONMMUT042550.2,0,0.00000000194,0,0.0000000000821,5.2e-21,0,2378
ELM000002,Mouse,NONMMUT042551.2,0,0.0351173,0,3.2e-33,0.0000000512,0,2379
ELM000002,Mouse,NONMMUT042552.2,0,1.75e-45,0,0.00236357,0,0,2380
ELM000012,Mouse,NONMMUT048053.2,0,0,0,0,0,0,2381
ELM000012,Mouse,NONMMUT048054.2,0,0,0,0,0.0514639,0,2382
ELM000012,Mouse,NONMMUT048055.2,0,0,0,0,0,0.046642,2383
ELM000012,Mouse,NONMMUT048056.2,0,0,0,0,0,0,2384
ELM000012,Mouse,NONMMUT048057.2,0,0,0,0.00000000281,0.00651915,0.00985146,2385
ELM000012,Mouse,NONMMUT048058.2,0,0,0,7.9e-18,0.101885,1.19e-138,2386
ELM000012,Mouse,NONMMUT048059.2,0,0,0,0,0.0197917,0,2387
ELM000012,Mouse,NONMMUT048061.2,0,0,0,0,0,0,2388
ELM000012,Mouse,NONMMUT048062.2,0,0,0,0,0,0,2389
ELM000019,Mouse,NONMMUT053844.2,3.59e-112,2.58e-19,7.4e-24,0.000000000252,0.0000000000000597,0.000000411,2390
ELM000019,Mouse,NONMMUT053845.2,1.71e-114,5.22e-21,6.93e-24,0.000000000152,7.57e-16,0.0000000582,2391
ELM000019,Mouse,NONMMUT053846.2,0.0148243,6.67e-29,0.000717346,0.0101686,0.0253024,0.0116015,2392
ELM000019,Mouse,NONMMUT053847.2,0,7.58e-17,4.25e-22,0.00000000053,0.0000000000348,3.53e-23,2393
ELM000019,Mouse,NONMMUT053849.2,0,0.00000000000623,1.21e-21,0.00000000233,0.0000112,0.000000000000175,2394
ELM000019,Mouse,NONMMUT053850.2,0,0.00000000105,2.38e-22,0.00000000455,0.00348383,3.82e-24,2395
ELM000019,Mouse,NONMMUT053851.2,0,0.0000252,0,0.000000017,0.0000000166,6.04e-22,2396
ELM000019,Mouse,NONMMUT053852.2,0,0.000812246,0,0.0000000268,0.000000813,3.45e-21,2397
ELM000019,Mouse,NONMMUT053856.2,0.00544613,0,0.00000000000019,0.00000000142,0.00808911,1.29e-192,2398
ELM000019,Mouse,NONMMUT053859.2,3.48e-143,0,0.000000000754,0,0,8.64e-171,2399
ELM000019,Mouse,NONMMUT053860.2,3.78e-106,0,0.0000000000436,0,0,3.45e-37,2400
ELM000019,Mouse,NONMMUT053861.2,1.11e-37,0,0.000000000268,0,0,0.0000000000000666,2401
ELM000019,Mouse,NONMMUT053862.2,4.36e-43,0,0.000000000233,0,0,9.82e-16,2402
ELM000019,Mouse,NONMMUT053863.2,0.00214231,0,0.000000000663,0,0,0.0261491,2403
ELM000019,Mouse,NONMMUT053864.2,0.0880783,0,0.000000000334,0,0,0.0000000000419,2404
ELM000019,Mouse,NONMMUT053865.2,0,0,0,0,0,0,2405
ELM000005,Mouse,NONMMUT056153.2,0,0,5.94383,0,35.5694,0,2406
ELM000005,Mouse,NONMMUT056155.2,0,0,0,0,0,0,2407
ELM000005,Mouse,NONMMUT056160.2,0.000000000000154,0.000000000102,0.000000000377,0.000000000192,6.09e-18,0.000000348,2408
ELM000010,Mouse,NONMMUT062152.2,0.000000006,0.024005,0.0357602,0.00559926,0.000000692,4.82e-16,2409
ELM000010,Mouse,NONMMUT062154.2,0.0136107,0.00451774,0.00929619,0.031842,0.0870587,0.0324507,2410
ELM000010,Mouse,NONMMUT062156.2,0.0125297,0.00372873,0,0,1.56e-56,0.00306721,2411
ELM000010,Mouse,NONMMUT062157.2,0,0,0,0,0,1.1e-46,2412
ELM000010,Mouse,NONMMUT062158.2,0,0,0,0,0.0126622,0.00900515,2413
ELM000010,Mouse,NONMMUT062159.2,0,0.002666,0.0105282,0.0445298,0.0674559,0.0276064,2414
ELM000010,Mouse,NONMMUT062160.2,0,0,0,0,0,1.23e-174,2415
ELM000010,Mouse,NONMMUT062162.2,0,0,1.56352,0.112332,0.164922,0.433118,2416
ELM000010,Mouse,NONMMUT062163.2,0,0,0,0,0,0,2417
ELM000026,Mouse,NONMMUT064127.2,0.058287,0.00547282,0.00676649,0.0230258,0.00000758,0.121849,2418
ELM000024,Mouse,NONMMUT066481.2,0,0.0000000000374,0.0015866,0.0397839,0.0997612,0.00984109,2419
ELM000001,Mouse,NONMMUT067453.2,6.93e-109,8.47e-28,0.00000000354,0.000000000000209,3.16e-24,3.15e-77,2420
ELM000001,Mouse,NONMMUT067454.2,0,0,0,0,0,0,2421
ELM000001,Mouse,NONMMUT067455.2,0,0,0.0000000385,0.0000000000148,0.00000000000107,0.0151803,2422
ELM000006,Mouse,NONMMUT073453.2,0,0,0,0.00246248,0.0249729,0.00843627,2423
ELM000006,Mouse,NONMMUT073454.2,0,0.00266179,0,0,0.0137155,0.00419298,2424
ELM000011,Mouse,NONMMUT073455.2,0.000000408,0.000000382,0.000000356,0.000000545,0.13825,0.0330797,2425
ELM000011,Mouse,NONMMUT073456.2,0.102035,0.0495588,0.0344187,0.0246935,0.000000000861,0.0458553,2426
ELM000011,Mouse,NONMMUT073459.2,1.78145,1.76075,0.551376,1.00237,1.20347,1.65709,2427
ELM000011,Mouse,NONMMUT073461.2,1.44e-24,0.00000000000000401,4.23e-44,1.01e-23,9.53e-18,7.13e-20,2428
ELM000011,Mouse,NONMMUT073467.2,2.61e-46,6.99e-34,4.65e-27,0.000000000000764,6.44e-23,0.0000000000338,2429
ELM000007,Mouse,NONMMUT076672.1,0.00219188,0.049465,0.0192235,0.0672069,0.222278,0.34544,2430
ELM000007,Mouse,NONMMUT076673.1,0,0,0,0,0,0,2431
ELM000008,Mouse,NONMMUT093151.1,0,0,0,0,0,0,2432
ELM000008,Mouse,NONMMUT093152.1,0,0,0.00000013,0.0000000986,0.000000089,0.0000000533,2433
ELM000008,Mouse,NONMMUT093153.1,0,0,0,0,0,0.0118791,2434
ELM000017,Mouse,NONMMUT101310.1,0,0.0399724,0,0.0564739,0.0538862,0.0317659,2435
ELM000016,Mouse,NONMMUT101964.1,0,0,0,0.00881579,0.186082,0.0391703,2436
ELM000003,Mouse,NONMMUT109226.1,0,0,0,2.19e-50,0.000000000326,6.21e-34,2437
ELM000022,Mouse,NONMMUT109886.1,0,0.000952028,0,0.0179119,0.0668901,0.0138746,2438
ELM000022,Mouse,NONMMUT109887.1,4.15e-18,0,0,2.48e-160,2.05e-100,8.76e-130,2439
ELM000002,Mouse,NONMMUT110850.1,0,0,0,0.033047,0.0353771,0.0249103,2440
ELM000002,Mouse,NONMMUT110851.1,0,9.46e-18,0,0.00880437,0.02267,0.0138048,2441
ELM000002,Mouse,NONMMUT110852.1,0,0,0.00426711,0.066128,0.180573,0.0418422,2442
ELM000002,Mouse,NONMMUT110853.1,0,0,0,0,0,0,2443
ELM000002,Mouse,NONMMUT110854.1,0,0,0,0,0.0408554,0.00647791,2444
ELM000012,Mouse,NONMMUT115279.1,0,0,0,0,0,0,2445
ELM000012,Mouse,NONMMUT115280.1,0,0,0,0.033361,0.0164218,2.29e-49,2446
ELM000012,Mouse,NONMMUT115281.1,0,0,0,2.95e-26,0.0654833,0.0208937,2447
ELM000012,Mouse,NONMMUT115282.1,0,0,0,0,4.84e-118,0,2448
ELM000012,Mouse,NONMMUT115283.1,0,0,0,0,0.00723205,7.28e-281,2449
ELM000005,Mouse,NONMMUT123541.1,2.46e-129,4.35e-103,9.35e-146,1.11e-28,0.0135303,2.26e-130,2450
ELM000005,Mouse,NONMMUT123542.1,0,0,0,0,0,1.64e-120,2451
ELM000005,Mouse,NONMMUT123547.1,0.00000026,0.00000946,0.00000798,0.0000135,1.33e-17,0.00000000397,2452
ELM000005,Mouse,NONMMUT123548.1,0.0420306,0.135236,0.0523643,0.153714,0.052574,0.0392612,2453
ELM000010,Mouse,NONMMUT127307.1,0,0,5.45e-16,0,4.11e-38,4.23e-51,2454
ELM000010,Mouse,NONMMUT127308.1,0,0,0,0,0,2.86e-44,2455
ELM000010,Mouse,NONMMUT127309.1,0,0,0,0,0,0.0000000000000356,2456
ELM000010,Mouse,NONMMUT127310.1,0,0,1.05987,0,0,0.0000000346,2457
ELM000010,Mouse,NONMMUT127311.1,0,0,0.000000000102,0,0,0,2458
ELM000026,Mouse,NONMMUT127894.1,0.000000435,0.00547282,0.00676649,0.0230258,0.0973882,0.000918399,2459
ELM000001,Mouse,NONMMUT131804.1,1.74e-131,5.25e-42,1.17e-21,7.53e-36,2.74e-108,6.42e-110,2460
ELM000001,Mouse,NONMMUT131805.1,2.19e-132,1.43e-42,3.77e-22,9.65e-37,2.4e-109,2.66e-76,2461
ELM000001,Mouse,NONMMUT131806.1,0,0,0.0000000000000255,1.28e-22,0.0314127,7.38e-20,2462
ELM000006,Mouse,NONMMUT136295.1,0,0,0,0.00246248,0.0249729,0.00879793,2463
ELM000011,Mouse,NONMMUT137216.1,0.00136831,0.00131468,0.00121989,0.016591,0.000000171,0.0134122,2464
ELM000011,Mouse,NONMMUT137217.1,1.54e-21,0.00000000000435,4.96e-41,5.59e-20,0.0000000000000109,1.66e-18,2465
ELM000011,Mouse,NONMMUT137218.1,0,0,0,0,0,1.42e-236,2466
ELM000009,Mouse,NONMMUT141624.1,0,0,0.0203235,3.79e-31,0.0266722,3.64e-44,2467
ELM000009,Mouse,NONMMUT141625.1,1.05e-306,0,2.67e-19,0.000000000000596,6.83e-112,7.33e-265,2468
ELM000009,Mouse,NONMMUT141626.1,0,0,4.82e-22,3.92e-20,1.5e-35,0.019349,2469
ELM000009,Mouse,NONMMUT141627.1,0,0,0,1.53e-22,2.28e-60,1.74e-120,2470
ELM000009,Mouse,NONMMUT141628.1,0,0,0,1.14e-24,1.73e-69,5.22e-180,2471
ELM000009,Mouse,NONMMUT141629.1,0,0,0,3.23e-23,9.7e-96,2.15946e-313,2472
ELM000009,Mouse,NONMMUT141630.1,0,0,0,1.82e-17,6.72e-53,7.6e-102,2473
ELM000009,Mouse,NONMMUT141631.1,0,0,0,1.3e-20,1.58e-101,0,2474
ELM000009,Mouse,NONMMUT141632.1,0,0,0,6.64e-17,5.07e-121,0,2475
ELM000009,Mouse,NONMMUT141633.1,0,0,0,4.21e-23,1.15e-46,7.97e-58,2476
ELM000009,Mouse,NONMMUT141634.1,0,0,0,6.05e-19,2.09e-70,6.72e-132,2477
ELM000009,Mouse,NONMMUT141635.1,0,0,4.89e-28,2.19e-114,3.66e-120,0.00224899,2478
ELM000009,Mouse,NONMMUT141636.1,0,0,6.56e-29,1.06e-116,1.89e-139,1.42e-26,2479
ELM000009,Mouse,NONMMUT141637.1,0.179931,0.513174,0.022567,0.180462,0.146396,0.018629,2480
ELM000003,Mouse,NONMMUT146847.1,0,0,0,3.08e-46,0.0928918,0.011706,2481
ELM000022,Mouse,NONMMUT147049.1,0,0,0,1.26e-34,0.0060047,0.0157072,2482
ELM000022,Mouse,NONMMUT147050.1,0,0,0,2.8e-37,0.0000073,0.00000218,2483
ELM000022,Mouse,NONMMUT147051.1,0,0,0,0.00576275,1.96e-36,7.61e-47,2484
ELM000022,Mouse,NONMMUT147052.1,0,1.37e-21,0,0.00000218,0.000000000128,0.00000145,2485
ELM000022,Mouse,NONMMUT147053.1,9.85e-32,0,6.93e-33,7.22e-26,0.00000000000000162,0.0000000000000387,2486
ELM000022,Mouse,NONMMUT147054.1,0,0,0,2.31e-71,1.72e-36,1.51e-43,2487
ELM000022,Mouse,NONMMUT147055.1,0,0,0,4.66e-64,1.74e-24,1.19e-29,2488
ELM000022,Mouse,NONMMUT147056.1,0,0,0,0.00820093,9.04e-82,4.35e-148,2489
ELM000022,Mouse,NONMMUT147057.1,0.00000000000000274,0,7.23e-16,3.96e-37,0.000000000218,6.02e-21,2490
ELM000022,Mouse,NONMMUT147058.1,0,0.000824844,0,0.0146298,0.0220501,0.00168713,2491
ELM000022,Mouse,NONMMUT147059.1,0,0,0,5.93e-273,4.55e-59,2.83e-105,2492
ELM000022,Mouse,NONMMUT147060.1,0,0,0,8.71e-264,4.43e-49,2.5e-115,2493
ELM000022,Mouse,NONMMUT147061.1,3.31e-19,0,6.13e-20,1.24e-17,8.78e-22,1.66e-42,2494
ELM000022,Mouse,NONMMUT147062.1,0,0,0,1.65e-271,1.7e-57,3.39e-103,2495
ELM000022,Mouse,NONMMUT147063.1,0,0,0,2.44e-271,2.62e-57,5.97e-103,2496
ELM000022,Mouse,NONMMUT147064.1,0,0,0,8.34e-246,6.11e-41,6.44e-121,2497
ELM000022,Mouse,NONMMUT147065.1,6.15e-18,0,1.27e-18,3.72e-47,2.62e-26,1.6e-35,2498
ELM000022,Mouse,NONMMUT147066.1,1.7e-16,0,4.02e-17,1.07e-41,2.59e-20,1.38e-27,2499
ELM000022,Mouse,NONMMUT147067.1,0,0,0,2.25e-256,5.25e-41,1.99e-81,2500
ELM000022,Mouse,NONMMUT147068.1,0,0,0,8.63e-263,5.39e-48,1.18e-90,2501
ELM000022,Mouse,NONMMUT147069.1,0,0,0,8.56e-282,1.05e-68,5.32e-118,2502
ELM000022,Mouse,NONMMUT147073.1,0.00247174,0,0.00231523,0.00313081,0.00000000000843,0.000723896,2503
ELM000022,Mouse,NONMMUT147076.1,3.68e-40,0,1.5e-41,0.0109052,0.0686301,0.00925324,2504
ELM000022,Mouse,NONMMUT147077.1,0,0,0,3.95e-195,0.000000000617,0.000465138,2505
ELM000022,Mouse,NONMMUT147079.1,0,0,0.00313414,0.0226304,0.00974027,0.00626588,2506
ELM000022,Mouse,NONMMUT147086.1,0,0.00000000000000271,0,6.61e-159,9.77e-141,1.91e-40,2507
ELM000022,Mouse,NONMMUT147087.1,0.0000000446,0.000000044,0.0000000417,0.00878514,1.7e-21,0.00341477,2508
ELM000022,Mouse,NONMMUT147088.1,0.00175234,0.00252011,0.00218366,0.0149537,0.0220142,0.00000000000000181,2509
ELM000022,Mouse,NONMMUT147089.1,0,0,0,0,0,0,2510
ELM000022,Mouse,NONMMUT147091.1,0.00127312,0.00121966,0,0.00228883,0.0174752,0.00126725,2511
ELM000022,Mouse,NONMMUT147092.1,0,0,0,0.00726738,0.00847319,0.0048089,2512
ELM000012,Mouse,NONMMUT148099.1,0,0,0,0.00000000226,0.000587084,0.0000306,2513
ELM000005,Mouse,NONMMUT150291.1,0.0329549,0.12166,0.0919306,0.13672,0.238317,0.0671284,2514
ELM000005,Mouse,NONMMUT150305.1,0.0421784,0.119547,0.0361375,0.267523,0.10573,0.0252148,2515
ELM000005,Mouse,NONMMUT150307.1,0.0285529,0.131315,0.0796052,0.151521,0.148594,0.0917678,2516
ELM000005,Mouse,NONMMUT150308.1,9.1869,9.80282,12.2424,12.6024,13.2282,16.7256,2517
ELM000005,Mouse,NONMMUT150331.1,0.00826298,0.118079,0.0481176,0.148091,0.167321,0.0459052,2518
ELM000005,Mouse,NONMMUT150343.1,0.0578739,0.18917,0.0906187,0.569835,0.297061,0.175153,2519
ELM000005,Mouse,NONMMUT150344.1,0,0.182392,0,0.192557,0.520079,0.17437,2520
ELM000005,Mouse,NONMMUT150345.1,0,0.448817,0,0.410966,0,0.450597,2521
ELM000005,Mouse,NONMMUT150349.1,0.00509376,3.21e-209,0.0000000661,4.33e-48,0.0394864,0.00265506,2522
ELM000005,Mouse,NONMMUT150350.1,0,0.00675853,3.83e-86,0.0225672,0.0231287,6.45e-147,2523
ELM000005,Mouse,NONMMUT150361.1,0.32094,0.239069,1.96498,0.174348,2.57069,1.73277,2524
ELM000001,Mouse,NONMMUT152969.1,0.0102477,0.0100355,0.00161221,0.0279122,0.112382,0.0276201,2525
ELM000001,Mouse,NONMMUT152970.1,0.0134725,3.41e-56,0,0.0153357,0.0856027,0.0402966,2526
ELM000001,Mouse,NONMMUT152971.1,7.13e-80,2.91e-42,0,6.03e-36,2.31e-67,3.95e-66,2527
ELM000001,Mouse,NONMMUT152972.1,0.000000000238,0.000000171,0.000000119,0.000000000749,0.0000000004,0.000000000000237,2528
ELM000001,Mouse,NONMMUT152973.1,1.32e-44,2.54e-54,0,0.0000000000000255,9.35e-30,8.01e-38,2529
ELM000001,Mouse,NONMMUT152974.1,2.58e-91,1.96e-49,0,2.9e-47,1.77e-38,0.000000000000979,2530
ELM000001,Mouse,NONMMUT152975.1,0.000000641,6.62e-59,0,0.00000085,0.000000711,0.00000000914,2531
ELM000001,Mouse,NONMMUT152976.1,3.68e-89,4.39e-48,0,3.92e-45,8.03e-77,1.99e-83,2532
ELM000001,Mouse,NONMMUT152977.1,0.00000000113,1.24e-60,0,0.00000000165,0.000000000444,0.00000000000279,2533
ELM000001,Mouse,NONMMUT152978.1,0.000000000615,8.45e-61,0,0.000000000905,0.000000000217,0.00000000000109,2534
ELM000001,Mouse,NONMMUT152979.1,0,0,0.00358027,0.0102296,8.68e-78,9.01e-120,2535
ELM000001,Mouse,NONMMUT152980.1,6.29e-102,2.02e-23,0,3.64e-282,3.55e-165,1.85e-170,2536
ELM000001,Mouse,NONMMUT152981.1,2.41e-125,3.8e-38,2.79e-18,9.42e-30,1.03e-29,0.00000262,2537
ELM000001,Mouse,NONMMUT152982.1,1.08e-123,4.14e-37,2.26e-17,4.09e-28,1.35e-41,6.83e-98,2538
ELM000006,Mouse,NONMMUT154214.1,0,2.41e-21,0,0,1.54e-21,0.00000000000000161,2539
ELM000011,Mouse,NONMMUT154316.1,0,0,0,0,1.16e-242,3.47e-153,2540
ELM000013,Mouse,N.A.,0,0,0,0,0,0,2581
ELM000014,Mouse,N.A.,0,0,0,0,0,0,2582
ELM000020,Mouse,N.A.,0,0,0,0,0,0,2583
ELM000021,Mouse,N.A.,0,0,0,0,0,0,2584
ELM000023,Mouse,N.A.,0,0,0,0,0,0,2585
ELM000025,Mouse,N.A.,0,0,0,0,0,0,2586
ELM000027,Mouse,N.A.,0,0,0,0,0,0,2587
ELM000028,Mouse,NONMMUT073474.2,0,0,0,0.00000018548,0.0135508,0.0000000800863,2588
ELM000028,Mouse,NONMMUT073475.2,0,0,0,0,0.0305102,2.68346e-41,2589
ELM000028,Mouse,NONMMUT073476.2,0,0,0,0,0.00000312971,0.0000000000302336,2590
ELM000028,Mouse,NONMMUT073477.2,0,0,0,0.0126023,0.107691,0.0214551,2591
ELM000028,Mouse,NONMMUT073479.2,0,0,0,0,7.06595e-146,1.77055e-174,2592
ELM000028,Mouse,NONMMUT073480.2,0,0,0,0,0,0.00740967,2593
ELM000028,Mouse,NONMMUT073481.2,0,0,0,0,1.50837e-281,0.0132481,2594
ELM000028,Mouse,NONMMUT073482.2,0,0,0,0,2.1583e-227,0,2595
ELM000028,Mouse,NONMMUT073483.2,0,0,0,0,0.209853,0.0268771,2596
ELM000028,Mouse,NONMMUT073485.2,0,0,0,0,0.0176354,0.000000056707,2597
ELM000028,Mouse,NONMMUT073489.2,0,0,0,0,0,0,2598
ELM000028,Mouse,NONMMUT136296.1,0,0,0,0.000750939,2.99287e-46,0.00375,2599
