MIR1302-2HG	HSALNG0000005
FAM138A	HSALNG0000006
LINC00115	HSALNG0000022
LINC01409	HSALNG0000038
LINC01128,FAM87B	HSALNG0000041
FAM41C	HSALNG0000046
LINC02593	HSALNG0000054
LINC01342	HSALNG0141646
TTLL10-AS1	HSALNG0142080
LINC01786	HSALNG0000125
MRPL20-AS1	HSALNG0000152
MRPL20-DT	HSALNG0000155
LINC01770	HSALNG0000162
PRKCZ-AS1	HSALNG0142083
TNFRSF14-AS1	HSALNG0000275
MMEL1-AS1	HSALNG0000288
PRDM16-DT	HSALNG0000303
LINC01134	HSALNG0000361
LINC01345	HSALNG0000365
LINC01346	HSALNG0000366
LINC02780	HSALNG0000367
LINC01777	HSALNG0000379
LINC01646	HSALNG0000393
LINC02781	HSALNG0000421
LINC02782	HSALNG0000428
LINC00337	HSALNG0000511
LINC01672	HSALNG0000544
CAMTA1-DT	HSALNG0000547
CAMTA1-IT1	HSALNG0000559
CAMTA1-AS2	HSALNG0000560
CAMTA1-AS1	HSALNG0000562
LINC01714	HSALNG0000603
RERE-AS1	HSALNG0000636
ENO1-AS1	HSALNG0000660
MIR34AHG	HSALNG0000682
LNCTAM34A	HSALNG0000685
LINC02606	HSALNG0000694
PIK3CD-AS1	HSALNG0142109
PIK3CD-AS2	HSALNG0000719
EXOSC10-AS1	HSALNG0000845
MTOR-AS1	HSALNG0000847
LINC01647	HSALNG0000883
C1orf167-AS1	HSALNG0000898
LINC02766	HSALNG0000943
LINC01784	HSALNG0000961
KAZN-AS1	HSALNG0001020
TMEM51-AS1	HSALNG0001056
FHAD1-AS1	HSALNG0001066
SLC25A34-AS1	HSALNG0001107
ARHGEF19-AS1	HSALNG0001153
LINC01772	HSALNG0141680
LINC01783	HSALNG0001188
LINC02783	HSALNG0001259
RCC2-AS1	HSALNG0001269
LINC02810	HSALNG0001287
LINC01654	HSALNG0001302
IGSF21-AS1	HSALNG0001306
EMC1-AS1	HSALNG0001365
UBXN10-AS1	HSALNG0001418
LINC01757	HSALNG0001427
LINC01141	HSALNG0001434
PINK1-AS	HSALNG0001461
ECE1-AS1	HSALNG0001498
LINC02596	HSALNG0001522
LINC00339	HSALNG0001554
LINC01635,CDC42-AS1	HSALNG0001553
CDC42-IT1	HSALNG0001555
ZBTB40-IT1	HSALNG0001589
LINC01355	HSALNG0001619
ZNF436-AS1	HSALNG0001624
ELOA-AS1	HSALNG0001652
MYOM3-AS1	HSALNG0001687
LINC02800	HSALNG0001696
GRHL3-AS1	HSALNG0001704
RCAN3AS	HSALNG0001716
NCMAP-DT	HSALNG0001720
LINC02793	HSALNG0001761
DHDDS-AS1	HSALNG0001890
LINC02574	HSALNG0002009
SNHG3	HSALNG0002066
SNHG12	HSALNG0002075
LINC01715	HSALNG0002081
LINC01756	HSALNG0002120
LINC01648	HSALNG0002146
MATN1-AS1	HSALNG0002188
LINC01778	HSALNG0002198
LINC01226	HSALNG0002236
PEF1-AS1	HSALNG0002248
PHC2-AS1	HSALNG0002397
CSMD2-AS1	HSALNG0002415
ZMYM4-AS1	HSALNG0002489
LINC01137	HSALNG0002618
MIR3659HG	HSALNG0002686
LINC02786	HSALNG0002692
LINC01343	HSALNG0142172
LINC01685	HSALNG0002702
PABPC4-AS1	HSALNG0002780
BMP8B-AS1	HSALNG0002806
LINC02811	HSALNG0002808
MYCL-AS1	HSALNG0002817
NFYC-AS1	HSALNG0002891
SLFNL1-AS1	HSALNG0002928
FOXO6-AS1	HSALNG0002944
SLC2A1-AS1	HSALNG0003053
MED8-AS1	HSALNG0003091
SZT2-AS1	HSALNG0003097
HYI-AS1	HSALNG0003100
KDM4A-AS1	HSALNG0003118
ERI3-IT1	HSALNG0003165
LINC01144	HSALNG0003233
LINC01398	HSALNG0003332
MKNK1-AS1	HSALNG0003339
EFCAB14-AS1	HSALNG0003350
CYP4A22-AS1	HSALNG0003376
LINC00853	HSALNG0003381
FOXD2-AS1,LINC01389	HSALNG0003395
LINC01738	HSALNG0003406
LINC02794	HSALNG0003447
AGBL4-AS1	HSALNG0003499
AGBL4-IT1	HSALNG0003501
ELAVL4-AS1	HSALNG0003512
LINC02808	HSALNG0003513
FAF1-AS1	HSALNG0003532
LINC01562	HSALNG0003560
TTC39A-AS1	HSALNG0003570
EPS15-AS1	HSALNG0003577
TXNDC12-AS1	HSALNG0003604
LINC01771	HSALNG0003694
LINC02812	HSALNG0003695
SSBP3-AS1	HSALNG0141766
LINC02784	HSALNG0003763
DHCR24-DT	HSALNG0003806
MIR4422HG	HSALNG0003824
LINC01755	HSALNG0003830
LINC01753	HSALNG0003848
LINC01767	HSALNG0003877
DAB1-AS1	HSALNG0003913
LINC01135	HSALNG0003956
LINC02777	HSALNG0003960
LINC01358	HSALNG0003964
LINC02778	HSALNG0003993
LINC01748	HSALNG0004004
NFIA-AS2	HSALNG0004009
NFIA-AS1	HSALNG0004023
LINC01739	HSALNG0004095
LINC00466	HSALNG0004105
FOXD3-AS1	HSALNG0004109
DLEU2L	HSALNG0141784
ROR1-AS1	HSALNG0004143
LINC01359	HSALNG0004173
PDE4B-AS1	HSALNG0004214
LINC01702	HSALNG0004287
GNG12-AS1	HSALNG0004297
DEPDC1-AS1	HSALNG0004322
LINC02791	HSALNG0004342
LINC01707	HSALNG0004343
LINC01758	HSALNG0004345
LRRC7-AS1	HSALNG0004356
HHLA3-AS1	HSALNG0004374
LINC01788	HSALNG0004394
ZRANB2-AS1	HSALNG0004409
ZRANB2-AS2	HSALNG0004412
NEGR1-IT1	HSALNG0004417
LINC02796,LINC02797	HSALNG0004443
LINC01360	HSALNG0004465
LINC02238	HSALNG0004475
ERICH3-AS1	HSALNG0004497
LINC02567	HSALNG0004554
NEXN-AS1	HSALNG0004596
LINC02792	HSALNG0141801
LINC01781	HSALNG0004694
LINC01362	HSALNG0004748
LINC01361	HSALNG0004750
LINC01725	HSALNG0004751
LINC01712	HSALNG0004765
TTLL7-IT1	HSALNG0004786
LINC01461	HSALNG0004816
LINC01555	HSALNG0004819
LINC02795	HSALNG0004894
CLCA4-AS1	HSALNG0004920
LINC01140	HSALNG0004949
LINC02801	HSALNG0004954
LINC01364	HSALNG0004963
PKN2-AS1	HSALNG0004980
LRRC8C-DT	HSALNG0005074
LINC02787	HSALNG0005111
LINC02609	HSALNG0005134
LINC02788,LINC01763	HSALNG0005135
CCDC18-AS1	HSALNG0005250
BCAR3-AS1	HSALNG0005269
ARHGAP29-AS1	HSALNG0005322
ALG14-AS1	HSALNG0005351
LINC01761,LINC02607	HSALNG0005364
LINC01760	HSALNG0005365
LINC01650	HSALNG0005367
LINC02790	HSALNG0005384
LINC01787	HSALNG0005391
DPYD-AS1	HSALNG0005418
DPYD-IT1	HSALNG0005422
DPYD-AS2	HSALNG0005428
MIR137HG	HSALNG0005432
LINC01776	HSALNG0005443
LINC01708	HSALNG0005471
RTCA-AS1	HSALNG0005524
LINC01349	HSALNG0005540
LINC01307	HSALNG0005582
LINC01709	HSALNG0005590
LINC01676	HSALNG0005693
LINC01677	HSALNG0005713
LINC01661	HSALNG0005757
VAV3-AS1,LINC02785	HSALNG0005787
SPATA42	HSALNG0005835
LINC01768	HSALNG0005928
LINC01397	HSALNG0005949
LINC02586	HSALNG0005961
RBM15-AS1	HSALNG0005967
LAMTOR5-AS1	HSALNG0005973
CYMP-AS1	HSALNG0005984
LINC01160	HSALNG0006063
INKA2-AS1	HSALNG0006073
KCND3-IT1	HSALNG0006077
KCND3-AS1	HSALNG0006080
LINC01750	HSALNG0006084
LINC02884	HSALNG0006094
LINC01356	HSALNG0006139
LINC01357	HSALNG0006141
SLC16A1-AS1	HSALNG0006150
LRIG2-DT	HSALNG0006152
AP4B1-AS1	HSALNG0006197
HIPK1-AS1	HSALNG0006203
LINC01765	HSALNG0006259
NGF-AS1	HSALNG0006265
LINC01649	HSALNG0006294
LINC01779	HSALNG0006313
ATP1A1-AS1	HSALNG0006325
LINC01762	HSALNG0006329
LINC02868	HSALNG0141843
LINC01525	HSALNG0006378
WARS2-IT1	HSALNG0006463
WARS2-AS1	HSALNG0006466
LINC01780	HSALNG0006483
HAO2-IT1	HSALNG0006487
LINC00622	HSALNG0006500
LINC00623	HSALNG0141865
SRGAP2-AS1	HSALNG0006553
LINC02798	HSALNG0006556
LINC01691	HSALNG0006566
LINC02802	HSALNG0006909
LINC02799	HSALNG0142298
LINC02591	HSALNG0006937
LINC02802	HSALNG0142302
LINC01632	HSALNG0142305
LIX1L-AS1	HSALNG0006706
LINC01719	HSALNG0006691
LINC00624	HSALNG0006799
LINC02804	HSALNG0006845
LINC02805	HSALNG0006851
LINC01731	HSALNG0006856
LINC02806	HSALNG0006857
LINC01138	HSALNG0142330
FALEC	HSALNG0007045
ADAMTSL4-AS2	HSALNG0007049
ADAMTSL4-AS1	HSALNG0007053
ZNF687-AS1	HSALNG0007132
TDRKH-AS1	HSALNG0007188
C2CD4D-AS1	HSALNG0007192
FLG-AS1	HSALNG0007223
LINC01527	HSALNG0007253
IL6R-AS1	HSALNG0007394
UBE2Q1-AS1	HSALNG0007414
DCST1-AS1	HSALNG0007463
RUSC1-AS1	HSALNG0007497
ASH1L-IT1	HSALNG0007504
ASH1L-AS1	HSALNG0007510
ARHGEF2-AS1	HSALNG0007541
LINC02772	HSALNG0007670
KIRREL1-IT1	HSALNG0007706
LINC01704	HSALNG0007713
CADM3-AS1	HSALNG0007762
LINC02819	HSALNG0007769
SNHG28	HSALNG0142361
LINC01133	HSALNG0007801
PBX1-AS1	HSALNG0008113
LMX1A-AS2	HSALNG0008128
LMX1A-AS1	HSALNG0008129
LRRC52-AS1	HSALNG0008139
TMCO1-AS1	HSALNG0008155
FAM78B-AS1	HSALNG0008173
LINC01675	HSALNG0008185
LINC01363	HSALNG0008215
LINC00970	HSALNG0008302
LINC00626	HSALNG0008299
LINC01681	HSALNG0008365
LINC01142	HSALNG0008370
GORAB-AS1	HSALNG0008377
DNM3-IT1	HSALNG0008458
DNM3OS	HSALNG0008462
GAS5	HSALNG0008545
GAS5-AS1	HSALNG0008546
RC3H1-IT1	HSALNG0008558
LINC02776	HSALNG0008559
RABGAP1L-DT	HSALNG0008562
RABGAP1L-IT1	HSALNG0008575
TNR-IT1	HSALNG0008604
LINC01657	HSALNG0008620
LINC02803	HSALNG0008622
LINC01645	HSALNG0008653
