UID	target	PMID
ELH001834	AADACL2-AS1	30395134
ELH001341	AC002398.13	30395134
ELH001739	AC002472.11	30395134
ELH002232	AC004160.4	30395134
ELH001730	AC004463.6	27798563
ELH001729	AC004471.10	30395134
ELH001728	AC004471.9	30395134
ELH002287	AC004840.8	30395134
ELH002366	AC004893.11	30395134
ELH001547	AC005104.3	30395134
ELH001324	AC005253.4	30395134
ELH001304	AC005330.2	30395134
ELH001380	AC005523.3	30395134
ELH001325	AC005932.1	30395134
ELH001732	AC006547.13	30395134
ELH002351	AC007009.1	30395134
ELH001734	AC007050.17	30395134
ELH001736	AC007308.7	30395134
ELH001465	AC007405.8	30395134
ELH001531	AC007563.3	30395134
ELH002358	AC007566.10	30395134
ELH002031	AC008694.3	30395134
ELH000908	AC009133.15	30395134
ELH001464	AC009299.3	30395134
ELH001041	AC010761.10	30395134
ELH001425	AC012360.4	30395134
ELH001454	AC013269.4	30395134
ELH001408	AC016629.8	30395134
ELH001575	AC016735.1	30395134
ELH001422	AC016738.4	30395134
ELH001437	AC017002.1	30395134
ELH002303	AC017116.11	30395134
ELH001387	AC018766.4	30395134
ELH001385	AC018766.6	30395134
ELH001432	AC019100.3	30395134
ELH001863	AC024560.2	30395134
ELH000598	AC025165.8	30395134
ELH002076	AC025442.3	30395134
ELH000921	AC026471.6	30395134
ELH001201	AC061992.2	30395134
ELH001451	AC067960.1	30395134
ELH001367	AC067968.3	30395134
ELH001352	AC067969.2	30395134
ELH001477	AC079305.10	30395134
ELH001421	AC092168.3	30395134
ELH001606	AC092431.3	30395134
ELH002306	AC095067.1	27798563
ELH001457	AC097532.2	30395134
ELH002269	AC102953.4	30395134
ELH001456	AC103564.7	30395134
ELH001616	AC105053.3	30395134
ELH000409	AC108448.3	30395134
ELH001572	AC108488.4	27798563
ELH001133	AC109333.10	30395134
ELH001858	AC124944.3	30395134
ELH001856	AC124944.5	30395134
ELH001862	AC128709.3	30395134
ELH000919	AC135048.13	30395134
ELH001215	AC137723.5	30395134
ELH001006	AC137932.4	30395134
ELH001007	AC137932.5	30395134
ELH002298	AC226118.1	30395134
ELH000054	ADAMTSL4-AS1	30395134
ELH002660	AF196970.3	30395134
ELH000700	AL928742.12	30395134
ELH000470	ALG1L9P	30395134
ELH001722	ANKRD62P1-PARP4P3	30395134
ELH001746	AP000344.3	30395134
ELH001750	AP000356.2	30395134
ELH001683	AP000469.2	30395134
ELH001706	AP001058.3	30395134
ELH001707	AP001062.9	30395134
ELH001711	AP001476.2	30395134
ELH001712	AP001476.3	30395134
ELH000448	AP003068.9	30395134
ELH000393	AP005135.2	30395134
ELH000445	AP005273.1	30395134
ELH001238	AQP4-AS1	30395134
ELH001828	ATP1B3-AS1	30395134
ELH000859	BCAR4	30395134
ELH001820	BFSP2-AS1	30395134
ELH001570	BIRC6-AS1	30395134
ELH001743	BMS1P20	30395134
ELH001548	BOK-AS1	30395134
ELH002388	CASC11	30395134
ELH002382	CASC19	30395134
ELH002386	CASC21	30395134
ELH002383	CCAT1	30395134
ELH000291	CH17-360D5.2	30395134
ELH000171	CHRM3-AS1	30395134
ELH002095	CKMT2-AS1	27798563
ELH000080	CROCCP2	30395134
ELH001781	CTA-250D10.23	27798563
ELH001761	CTA-342B11.2	30395134
ELH001413	CTB-133G6.2	30395134
ELH001412	CTB-25J19.1	30395134
ELH000884	CTB-31N19.5	30395134
ELH001320	CTB-31O20.3	30395134
ELH001321	CTB-31O20.4	30395134
ELH001322	CTB-31O20.6	30395134
ELH002041	CTB-33O18.3	30395134
ELH001113	CTB-39G8.3	30395134
ELH001362	CTB-50E14.4	30395134
ELH001384	CTB-60B18.10	30395134
ELH001073	CTB-91J4.1	30395134
ELH002039	CTC-209H22.3	30395134
ELH001301	CTC-250I14.3	30395134
ELH001302	CTC-250I14.6	30395134
ELH002048	CTC-338M12.2	30395134
ELH002049	CTC-338M12.6	30395134
ELH002022	CTC-367J11.1	30395134
ELH001299	CTC-425F1.4	30395134
ELH002032	CTC-436K13.6	30395134
