UID	Alias
ELH000820	AADACL2-AS1
ELH000609	AC002398.13
ELH000781	AC002472.11
ELH000985	AC004160.4
ELH000772	AC004463.6
ELH000771	AC004471.10
ELH000770	AC004471.9
ELH001010	AC004840.8
ELH001043	AC004893.11
ELH000696	AC005104.3
ELH000598	AC005253.4
ELH000589	AC005330.2
ELH000626	AC005523.3
ELH000599	AC005932.1
ELH000774	AC006547.13
ELH001039	AC007009.1
ELH000776	AC007050.17
ELH000778	AC007308.7
ELH000682	AC007405.8
ELH000692	AC007563.3
ELH001041	AC007566.10
ELH000885	AC008694.3
ELH000402	AC009133.15
ELH000681	AC009299.3
ELH000478	AC010761.10
ELH000658	AC012360.4
ELH000675	AC013269.4
ELH000644	AC016629.8
ELH000706	AC016735.1
ELH000655	AC016738.4
ELH000663	AC017002.1
ELH001017	AC017116.11
ELH000632	AC018766.4
ELH000630	AC018766.6
ELH000659	AC019100.3
ELH000836	AC024560.2
ELH000277	AC025165.8
ELH000912	AC025442.3
ELH000413	AC026471.6
ELH000541	AC061992.2
ELH000672	AC067960.1
ELH000623	AC067968.3
ELH000613	AC067969.2
ELH000685	AC079305.10
ELH000685	LH08996
ELH000654	AC092168.3
ELH000714	AC092431.3
ELH001019	AC095067.1
ELH000678	AC097532.2
ELH001002	AC102953.4
ELH000677	AC103564.7
ELH000719	AC105053.3
ELH000185	AC108448.3
ELH000703	AC108488.4
ELH000513	AC109333.10
ELH000832	AC124944.3
ELH000830	AC124944.5
ELH000835	AC128709.3
ELH000411	AC135048.13
ELH000552	AC137723.5
ELH000459	AC137932.4
ELH000460	AC137932.5
ELH001013	AC226118.1
ELH000035	ADAMTSL4-AS1
ELH001155	AF196970.3
ELH000315	AL928742.12
ELH000221	ALG1L9P
ELH000765	ANKRD62P1-PARP4P3
ELH000787	AP000344.3
ELH000789	AP000356.2
ELH000749	AP000469.2
ELH000752	AP001058.3
ELH000753	AP001062.9
ELH000755	AP001476.2
ELH000756	AP001476.3
ELH000206	AP003068.9
ELH000178	AP005135.2
ELH000204	AP005273.1
ELH000559	AQP4-AS1
ELH000817	ATP1B3-AS1
ELH000377	BCAR4
ELH000816	BFSP2-AS1
ELH000702	BIRC6-AS1
ELH000785	BMS1P20
ELH000697	BOK-AS1
ELH001055	CASC11
ELH001052	CASC19
ELH001054	CASC21
ELH001053	CCAT1
ELH001053	LH15738
ELH000149	CH17-360D5.2
ELH000084	CHRM3-AS1
ELH000919	CKMT2-AS1
ELH000053	CROCCP2
ELH000806	CTA-250D10.23
ELH000796	CTA-342B11.2
ELH000648	CTB-133G6.2
ELH000647	CTB-25J19.1
ELH000383	CTB-31N19.5
ELH000594	CTB-31O20.3
ELH000595	CTB-31O20.4
ELH000596	CTB-31O20.6
ELH000889	CTB-33O18.3
ELH000503	CTB-39G8.3
ELH000619	CTB-50E14.4
ELH000629	CTB-60B18.10
ELH000492	CTB-91J4.1
ELH000888	CTC-209H22.3
ELH000587	CTC-250I14.3
ELH000588	CTC-250I14.6
ELH000588	LH08196
ELH000894	CTC-338M12.2
ELH000895	CTC-338M12.6
ELH000882	CTC-367J11.1
ELH000585	CTC-425F1.4
ELH000886	CTC-436K13.6
ELH000627	CTC-453G23.4
ELH000600	CTC-457E21.9
ELH000923	CTC-467M3.3
ELH000923	human_lncrna_fused_71148
ELH000621	CTC-490G23.4
ELH000500	CTC-501O10.1
ELH000381	CTC-508F8.1
ELH000580	CTC-510F12.4
ELH000218	CTD-2007L18.5
ELH000502	CTD-2020K17.3
ELH000908	CTD-2023N9.1
ELH000907	CTD-2031P19.5
ELH000897	CTD-2083E4.4
ELH000638	CTD-2105E13.14
ELH000638	LH08529
ELH000880	CTD-2165H16.4
ELH000616	CTD-2195B23.3
ELH000924	CTD-2231H16.1
ELH000584	CTD-2265O21.7
ELH000387	CTD-2270L9.4
ELH000518	CTD-2319I12.4
ELH000486	CTD-2349P21.6
ELH001077	CTD-2517M22.17
ELH000641	CTD-2537I9.12
ELH000334	CTD-2540L5.5
ELH001085	CTD-2541M15.1
ELH000545	CTD-2561B21.3
ELH000193	CTD-2589M5.5
ELH000635	CTD-2616J11.2
ELH000312	CTD-2644I21.1
ELH000582	CTD-2659N19.10
ELH000876	CTD-3080P12.3
ELH000604	CTD-3113P16.5
ELH001089	CTD-3118D11.2
ELH000651	CTD-3193O13.14
ELH000650	CTD-3193O13.8
ELH000879	CTD-3224K15.2
ELH000108	CYP4A22-AS1
ELH000769	DGCR5
ELH001156	DGKK
ELH000351	DKFZP434L187
ELH001157	DLG3-AS1
ELH000543	DNAH17-AS1
ELH000872	EPB41L4A-AS1
ELH000872	LH12673
ELH001098	FAM225B
ELH001048	FAM83A-AS1
ELH000118	FAM87B
ELH000181	FAM99A
ELH000511	FLJ40194
ELH000768	FLJ41941
ELH000292	GAS6-AS1
ELH000310	GPC5-IT1
ELH000290	GRTP1-AS1
ELH001031	GS1-124K5.4
ELH001044	GS1-259H13.2
ELH001076	GS1-393G12.12
ELH000815	H1FX-AS1
ELH000743	HAR1A
ELH000954	HCG20
ELH000957	HCG24
ELH000733	HM13-AS1
ELH000085	HNRNPU-AS1
ELH000271	HOTAIR
ELH000507	HOXB-AS4
ELH000544	HP09025
ELH000104	HYI-AS1
ELH001070	JRK
ELH000788	KB-1572G7.3
ELH000766	KB-7G2.8
ELH000129	KCNIP2-AS1
ELH000622	L34079.4
ELH000622	LH07866
ELH000400	LA16c-321D4.2
ELH000405	LA16c-380H5.3
ELH000406	LA16c-380H5.4
ELH000454	LA16c-444G7.1
ELH000763	LA16c-4G1.3
ELH000081	LGALS8-AS1
ELH000021	LH00087
ELH000050	LH00096
ELH000050	RP11-276H7.2
ELH000056	LH00114
ELH000056	RP11-108M9.3
ELH000059	LH00120
ELH000093	LH00173
ELH000096	LH00185
ELH000100	LH00217
ELH000103	LH00243
ELH000111	LH00284
ELH000122	LH00343
ELH000001	LH00368
ELH000010	LH00395
ELH000012	LH00401
ELH000023	LH00477
ELH000022	LH00491
ELH000032	LH00494
ELH000036	LH00504
ELH000043	LH00533
ELH000046	LH00535
ELH000054	LH00570
ELH000062	LH00616
ELH000065	LH00618
ELH000075	LH00673
ELH000083	LH00741
ELH000088	LH00771
ELH000057	LH00795
ELH000057	RP1-283E3.8
ELH000123	LH00824
ELH000123	human_lncrna_fused_536
ELH000066	LH00886
ELH000090	LH00918
ELH000091	LH00923
ELH000092	LH00938
ELH000099	LH00956
ELH000113	LH01036
ELH000120	LH01098
ELH000125	LH01128
ELH000004	LH01160
ELH000018	LH01208
ELH000025	LH01249
ELH000037	LH01304
ELH000039	LH01313
ELH000044	LH01327
ELH000051	LH01365
ELH000067	LH01455
ELH000068	LH01456
ELH000079	LH01596
ELH000164	LH01642
ELH000137	LH01683
ELH000142	LH01751
ELH000153	LH01784
ELH000157	LH01811
ELH000160	LH01834
ELH000126	LH01902
ELH000134	LH01946
ELH000135	LH01967
ELH000163	LH02016
ELH000139	LH02071
ELH000141	LH02095
ELH000147	LH02126
ELH000161	LH02199
ELH000167	LH02234
ELH000168	LH02236
ELH000169	LH02247
ELH000127	LH02254
ELH000128	LH02255
ELH000132	LH02285
ELH000216	LH02369
ELH000236	LH02375
ELH000236	TMEM9B-AS1
ELH000179	LH02394
ELH000182	LH02403
ELH000202	LH02475
ELH000205	LH02482
ELH000207	LH02486
ELH000207	human_lncrna_fused_15144
ELH000207	NEAT1
ELH000210	LH02492
ELH000214	LH02495
ELH000215	LH02501
ELH000217	LH02511
ELH000220	LH02535
ELH000222	LH02537
ELH000225	LH02558
ELH000232	LH02576
ELH000173	LH02638
ELH000174	LH02640
ELH000176	LH02656
ELH000194	LH02694
ELH000235	LH02699
ELH000189	LH02714
ELH000195	LH02822
ELH000196	LH02841
ELH000200	LH02848
ELH000201	LH02855
ELH000203	LH02866
ELH000219	LH02923
ELH000171	LH03019
ELH000278	LH03121
ELH000280	LH03130
ELH000281	LH03131
ELH000284	LH03136
ELH000247	LH03204
ELH000256	LH03227
ELH000259	LH03252
ELH000260	LH03253
ELH000263	LH03273
ELH000264	LH03275
ELH000265	LH03277
ELH000268	LH03283
ELH000272	LH03310
ELH000275	LH03315
ELH000286	LH03368
ELH000288	LH03379
ELH000240	LH03461
ELH000287	LH03579
ELH000252	LH03635
ELH000253	LH03644
ELH000255	LH03648
ELH000269	LH03712
ELH000273	LH03739
ELH000276	LH03763
ELH000285	LH03810
ELH000244	LH03931
ELH000250	LH03987
