UID,variation_id
ELH000016,450999
ELH000023,844320
ELH000026,2626779
ELH000053,2842124;1349;39555;39556;39557;392464;422966;620489;1032056;1070031;1120081;1177405;1323858;1323860;1390256;1417781;1391151;1403007;1431775;1404163;1527845;1685502;1899102;1899209;1915899;1921077;1910447;1919041;1932133;1952046;1958578;1958747;2000001;2034435;2044400;2033481;2074973;2097564;2097713;2122294;2132120;2135517;2135099;2412941;2575939;2635395;2635601;2695037;2710140;2707758;2725339;2731693;2733980;2733982;2733983;2750874;2755692;2770491;2784894;2776380;2776588;2778091;2807841;2825885;2830751;2833831;2853980;2845291;2846982;2848414;2856844;2861521;2859024;2877726;2955790;2958912;2958763;2985919;3017788;3076001
ELH000058,835300
ELH000062,559447;1706462
ELH000070,380082;432104;1705158
ELH000093,6584
ELH000116,1342187;1929365
ELH000151,418;426405;1073237;2030700;2055208;2792686
ELH000159,167443;188981;287046;371698;371715;371774;371756;371765;488572;528227;555854;555041;557382;553099;557541;593557;813402;817583;1068038;1070573;1076872;1068947;1324878;1384557;1509459;1453236;1724441;1724945;1724960;1725879;1726360;1726545;1726581;1903562;2009222;2107210;2115987;2632274;2677603;2677610;2677617;2677623;2677632;2677634;2677638;2682444;2696422;2763230;3013395
ELH000182,6063;6064;56406;94889;239724;239722;406969;459438;489031;528954;559922;566972;575801;577322;579806;572305;597188;666165;651496;641449;639282;653676;855952;843922;843639;933643;957433;958628;969215;1066953;1074968;1070117;1073655;1073983;1441130;1452653;1454337;1423182;1451232;1452207;1453899;1402431;1457315;1348918;1404316;1432678;1459824;1380880;1435770;1407638;2149236;2183483;2178209;1878233;2413905;2414630;1920986;1924629;1954977;1977888;2015369;2027771;2032635;2028369;2098231;2106799;2107515;2112818;2693874;2696521;2725593;2800129;2820097;2842744;2831811;2908502;3016200;3020770
ELH000197,634925
ELH000237,2710385;2752096;3064827
ELH000246,596323
ELH000249,1343093
ELH000252,17828;35695;1481897;2137365;17844;35696;285666;849994;974414;2137363;2137366;2160877;2811242;2842841
ELH000255,39606
ELH000296,635842;2443553
ELH000303,422086;456333;1034145;1507246;1453866;1489801;2017396
ELH000309,3650;548709;1334892
ELH000310,1323806
ELH000312,636650;1031728;1997125;2751748;2856535
ELH000322,632249;1285213;2633899
ELH000330,3027472;3027488
ELH000333,1244228
ELH000345,208708;280842;422344;429654;984867;1210092;1301284;1319265;1482344;1685240;2672665
