Gene_ID	Gene_summary
55384	This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor.
114614	This gene represents a microRNA host gene. The long RNA transcribed from this gene is expressed at high levels in lymphoma and may function as an oncogene.
400500	This gene produces a spliced long non-coding RNA (lncRNA) that has been implicated in breast cancer metastasis. It was originally identified in a screen for genes responsible for the development of resistance to anti-estrogens in breast cancer cells. It is thought that release of CCL21 enables this lncRNA to bind to the SNIP1 and PNUTS transcription factors, thereby activating a non-canonical GLI-dependent hedgehog signaling pathway that promotes cancer cell migration and invasion. A similar gene in cow expresses a protein in mature oocytes and preimplantation embryos. Alternatively spliced transcript variants have been identified.
220930	This locus produces long non-coding RNA that is transcribed from a shared bi-directional promoter with zinc finger E-box binding homeobox 1 (ZEB1). This transcript binds lysine methyltransferase 2A and promotes histone modifications that are thought to promote expression of ZEB1. Expression of this gene is correlated with tumor progression. Alternative splicing results in multiple transcript variants.
645323	This is an evolutionarily conserved gene that produces alternatively spliced long non-coding RNAs that may be expressed predominantly in the brain and visual cortex. These transcripts may be involved in tumorigenesis, as depletion by siRNA suppressed glioma cell division. Transcripts may also bind to and regulate the activity of miR-411-5p and argonaut 2, thereby altering the expression of genes involved in tumor growth.
400500	This gene produces a spliced long non-coding RNA (lncRNA) that has been implicated in breast cancer metastasis. It was originally identified in a screen for genes responsible for the development of resistance to anti-estrogens in breast cancer cells. It is thought that release of CCL21 enables this lncRNA to bind to the SNIP1 and PNUTS transcription factors, thereby activating a non-canonical GLI-dependent hedgehog signaling pathway that promotes cancer cell migration and invasion. A similar gene in cow expresses a protein in mature oocytes and preimplantation embryos. Alternatively spliced transcript variants have been identified.
407975	This gene is the host gene for the MIR17-92 cluster, a group of at least six microRNAs (miRNAs) that may be involved in cell survival, proliferation, differentiation, and angiogenesis. Amplification of this gene has been found in several lymphomas and solid tumors. Two non-protein coding transcript variants have been found for this host gene, but only the longest is a polycistronic transcript containing the MIR17-92 cluster.
652995	This gene produces a long non-coding RNA that was found to be upregulated in bladder cancer and plays a regulatory role in cell proliferation. This transcript regulates several genes, including CREB (cAMP responsive element binding protein). Expression of this transcript is regulated by CCAAT/enhancer-binding protein-alpha.
100885779	This gene produces a long non-coding RNA that regulates the reprogramming of pluripotent stem cells. This RNA suppresses induction of tumor protein p53 after DNA damage. It is thought to act as a sponge for microRNAs that regulate stem cell factors POU class 5 homeobox 1, Nanog, and SRY-box 2. This RNA may also have a extracellular role in modulating response to hypoxia in hepatocellular cancer cells. Expression of this transcript is associated with tumor progression and epithelial to mesenchymal transition and metastasis.
102723099	This gene encodes an unspliced long non-coding RNA that has been suggested to promote the proliferation of gastric carcinoma cells and bladder cancer cells.
100885775	This gene produces a long non-coding RNA that plays a role in tumor progression and epithelial to mesenchymal transition. This transcript acts through the MAP kinase signaling pathway.
112597	This gene produces a long non-coding RNA that is overexpressed in cancer cells and promotes cell proliferation and epithelial-mesenchymal transition. This RNA may bind enhancer of zeste homolog 2 and participate in the transcriptional silencing of tumor suppressor genes. It may act as a sponge for microRNAs. Alternatively spliced variants have been observed.
55384	This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor.
196475	This gene produces a long non-coding RNA that functions in neurogenesis by aiding in the association of Sox2 transcription factor to its target promoters.
729082	This is a conserved gene that produces a long non-coding RNA that maintains cell proliferation in embryonic stem cells. This RNA can bind to and negatively regulate the activity of multiple cellular RNAs and microRNAs, including cyclin G associated kinase and ELAV like RNA binding protein 1.
645323	This is an evolutionarily conserved gene that produces alternatively spliced long non-coding RNAs that may be expressed predominantly in the brain and visual cortex. These transcripts may be involved in tumorigenesis, as depletion by siRNA suppressed glioma cell division. Transcripts may also bind to and regulate the activity of miR-411-5p and argonaut 2, thereby altering the expression of genes involved in tumor growth.
101154753	This gene produces a non-coding RNA that is thought to regulate the response to DNA damage. This gene is induced by tumor protein p53 and interacts with and modulates the activity of a transcription factor that induce pro-apoptotic genes. Deregulation of this gene is associated with cancer progression.
645323	This is an evolutionarily conserved gene that produces alternatively spliced long non-coding RNAs that may be expressed predominantly in the brain and visual cortex. These transcripts may be involved in tumorigenesis, as depletion by siRNA suppressed glioma cell division. Transcripts may also bind to and regulate the activity of miR-411-5p and argonaut 2, thereby altering the expression of genes involved in tumor growth.
60674	This gene produces a spliced long non-coding RNA and is a member of the 5' terminal oligo-pyrimidine class of genes. It is a small nucleolar RNA host gene, containing multiple C/D box snoRNA genes in its introns. Part of the secondary RNA structure of the encoded transcript mimics glucocorticoid response element (GRE) which means it can bind to the DNA binding domain of the glucocorticoid receptor (nuclear receptor subfamily 3, group C, member 1). This action blocks the glucocorticoid receptor from being activated and thereby stops it from regulating the transcription of its target genes. This transcript is also thought to regulate the transcriptional activity of other receptors, such as androgen, progesterone and mineralocorticoid receptors, that can bind to its GRE mimic region. Multiple functions have been associated with this transcript, including cellular growth arrest and apoptosis. It has also been identified as a potential tumor suppressor, with its down-regulation associated with cancer in multiple different tissues.
60674	This gene produces a spliced long non-coding RNA and is a member of the 5' terminal oligo-pyrimidine class of genes. It is a small nucleolar RNA host gene, containing multiple C/D box snoRNA genes in its introns. Part of the secondary RNA structure of the encoded transcript mimics glucocorticoid response element (GRE) which means it can bind to the DNA binding domain of the glucocorticoid receptor (nuclear receptor subfamily 3, group C, member 1). This action blocks the glucocorticoid receptor from being activated and thereby stops it from regulating the transcription of its target genes. This transcript is also thought to regulate the transcriptional activity of other receptors, such as androgen, progesterone and mineralocorticoid receptors, that can bind to its GRE mimic region. Multiple functions have been associated with this transcript, including cellular growth arrest and apoptosis. It has also been identified as a potential tumor suppressor, with its down-regulation associated with cancer in multiple different tissues.
85028	This gene produces a long RNA that is overexpressed in tumor cells. This RNA may promote tumorigenesis by acting as a sponge for microRNAs.
645323	This is an evolutionarily conserved gene that produces alternatively spliced long non-coding RNAs that may be expressed predominantly in the brain and visual cortex. These transcripts may be involved in tumorigenesis, as depletion by siRNA suppressed glioma cell division. Transcripts may also bind to and regulate the activity of miR-411-5p and argonaut 2, thereby altering the expression of genes involved in tumor growth.
100048912	This gene is located within the CDKN2B-CDKN2A gene cluster at chromosome 9p21. The gene product is a functional RNA molecule that interacts with polycomb repressive complex-1 (PRC1) and -2 (PRC2), leading to epigenetic silencing of other genes in this cluster. This region is a significant genetic susceptibility locus for cardiovascular disease, and has also been linked to a number of other pathologies, including several cancers, intracranial aneurysm, type-2 diabetes, periodontitis, Alzheimer's disease, endometriosis, frailty in the elderly, and glaucoma. Multiple alternatively processed transcript variants have been detected, some of which may take the form of circular RNA molecules (PMID:21151960).
100499467	This gene produces a long non-protein coding RNA that is involved in the regulation of gene expression during tumor progression. This transcript can promote cell proliferation in gastric cancer through interaction with enhancer of zeste 2 and other epigenetic suppressors of gene expression, thereby downregulating target genes including Kruppel like factors 2 and 4. This transcript may also act as a tumor suppressor by promoting interaction between protein tyrosine phosphatase, non-receptor type 11 (Ptpn11) and ubiquitin ligase, resulting in degradation of Ptpn11 and lowered oncogenic signalling. Naturally-occurring variation at this locus results in the formation of a binding site for miR-1231, which negatively regulates activity of this transcript. Alternative splicing results in multiple transcript variants.
51352	This gene is located upstream of the Wilms tumor 1 (WT1) gene; these two genes are bi-directionally transcribed from the same promoter region. This gene is imprinted in kidney, with preferential expression from the paternal allele. Imprinting defects at chromosome 11p13 may contribute to tumorigenesis.
23642	This locus represents a small nucleolar RNA host gene that produces multiple alternatively spliced long non-coding RNAs. This gene is upregulated in cancers and is thought to act as promoter of cell proliferation. This transcript negatively regulates tumor suppressor genes such as tumor protein p53. Expression of this locus may be a marker of tumor progression.
100642175	This gene produces a non-coding RNA that is upregulated in several different tumors, including melanoma and breast and prostate cancer cells. This transcript may mediate cell growth, proliferation, and apoptosis. It regulates levels of lipin 2, and therefore may be involved in lipid biosynthesis. The primary transcript is cleaved to release a mature product that localizes to the cytoplasm (PMID:25344859). The full length structure of the primary and cleaved transcripts is unclear, and it is possible that the primary transcript is a splice variant of SPRY4 (sprouty RTK signaling antagonist 4).
618	This gene, which encodes a neural small non-messenger RNA, is a member of the family of interspersed repetitive DNA, and its product represents an example of a primate tissue-specific RNA polymerase III transcript. The RNA sequence is divided into three domains: a 5' portion homologous to the Alu Lm, a central adenosine-rich region, and the terminal 43-nt nonrepetitive domain. It is believed that this gene was retropositionally generated and recruited into a function regulating dendritic protein biosynthesis. At least two pseudogenes of this gene have been identified.
57291	This gene produces a long non-coding RNA that functions as a negative regulator of cell differentiation. This transcript associates with enhancer of zeste homolog 2 to repress expression of the runt related transcription factor 2 gene. Increased expression of this transcript may be associated with cancer. Alternatively spliced transcript variants have been observed.
347689	This gene produces alternatively spliced long non-coding RNAs. These RNAs were observed to be upregulated in tumor cells and positively correlated to expression of the SRY-box 2 gene. Overexpression of these transcripts may promote cell proliferation.
729082	This is a conserved gene that produces a long non-coding RNA that maintains cell proliferation in embryonic stem cells. This RNA can bind to and negatively regulate the activity of multiple cellular RNAs and microRNAs, including cyclin G associated kinase and ELAV like RNA binding protein 1.
85028	This gene produces a long RNA that is overexpressed in tumor cells. This RNA may promote tumorigenesis by acting as a sponge for microRNAs.
100048912	This gene is located within the CDKN2B-CDKN2A gene cluster at chromosome 9p21. The gene product is a functional RNA molecule that interacts with polycomb repressive complex-1 (PRC1) and -2 (PRC2), leading to epigenetic silencing of other genes in this cluster. This region is a significant genetic susceptibility locus for cardiovascular disease, and has also been linked to a number of other pathologies, including several cancers, intracranial aneurysm, type-2 diabetes, periodontitis, Alzheimer's disease, endometriosis, frailty in the elderly, and glaucoma. Multiple alternatively processed transcript variants have been detected, some of which may take the form of circular RNA molecules (PMID:21151960).
645323	This is an evolutionarily conserved gene that produces alternatively spliced long non-coding RNAs that may be expressed predominantly in the brain and visual cortex. These transcripts may be involved in tumorigenesis, as depletion by siRNA suppressed glioma cell division. Transcripts may also bind to and regulate the activity of miR-411-5p and argonaut 2, thereby altering the expression of genes involved in tumor growth.
85028	This gene produces a long RNA that is overexpressed in tumor cells. This RNA may promote tumorigenesis by acting as a sponge for microRNAs.
554202	This gene produces a long non-coding RNA that acts as a host gene for miR-31. This transcript may be involved in cellular pluripotency and regulate the differentiation of myoblasts and other tissues. This RNA was found to interact with Polycomb repressive proteins to repression transcription of genes involves in cell senescence.
55384	This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor.
100499467	This gene produces a long non-protein coding RNA that is involved in the regulation of gene expression during tumor progression. This transcript can promote cell proliferation in gastric cancer through interaction with enhancer of zeste 2 and other epigenetic suppressors of gene expression, thereby downregulating target genes including Kruppel like factors 2 and 4. This transcript may also act as a tumor suppressor by promoting interaction between protein tyrosine phosphatase, non-receptor type 11 (Ptpn11) and ubiquitin ligase, resulting in degradation of Ptpn11 and lowered oncogenic signalling. Naturally-occurring variation at this locus results in the formation of a binding site for miR-1231, which negatively regulates activity of this transcript. Alternative splicing results in multiple transcript variants.
729082	This is a conserved gene that produces a long non-coding RNA that maintains cell proliferation in embryonic stem cells. This RNA can bind to and negatively regulate the activity of multiple cellular RNAs and microRNAs, including cyclin G associated kinase and ELAV like RNA binding protein 1.
554202	This gene produces a long non-coding RNA that acts as a host gene for miR-31. This transcript may be involved in cellular pluripotency and regulate the differentiation of myoblasts and other tissues. This RNA was found to interact with Polycomb repressive proteins to repression transcription of genes involves in cell senescence.
407975	This gene is the host gene for the MIR17-92 cluster, a group of at least six microRNAs (miRNAs) that may be involved in cell survival, proliferation, differentiation, and angiogenesis. Amplification of this gene has been found in several lymphomas and solid tumors. Two non-protein coding transcript variants have been found for this host gene, but only the longest is a polycistronic transcript containing the MIR17-92 cluster.
51352	This gene is located upstream of the Wilms tumor 1 (WT1) gene; these two genes are bi-directionally transcribed from the same promoter region. This gene is imprinted in kidney, with preferential expression from the paternal allele. Imprinting defects at chromosome 11p13 may contribute to tumorigenesis.
50514	The function of this gene is not known. This gene is located in a region commonly deleted in esophageal squamous cell carcinomas.  Gene expression is reduced or absent in these carcinomas and thus this is a candidate tumor suppressor gene for esophageal squamous cell carcinomas.
643911	This gene is transcribed into multiple transcript variants, some of which may function as non-coding RNAs. One of the transcript variants encodes a putative short protein that is localized to the nucleus (PMID:25978564). Expression of this locus is increased in proliferating tissues, including certain tumors such as colorectal adenomas and adenocarcinomas. Transcription from this gene is negatively regulated by insulin and insulin-like growth factors, and may regulate the expression of genes involved in metabolism.
23642	This locus represents a small nucleolar RNA host gene that produces multiple alternatively spliced long non-coding RNAs. This gene is upregulated in cancers and is thought to act as promoter of cell proliferation. This transcript negatively regulates tumor suppressor genes such as tumor protein p53. Expression of this locus may be a marker of tumor progression.
347689	This gene produces alternatively spliced long non-coding RNAs. These RNAs were observed to be upregulated in tumor cells and positively correlated to expression of the SRY-box 2 gene. Overexpression of these transcripts may promote cell proliferation.
100885779	This gene produces a long non-coding RNA that regulates the reprogramming of pluripotent stem cells. This RNA suppresses induction of tumor protein p53 after DNA damage. It is thought to act as a sponge for microRNAs that regulate stem cell factors POU class 5 homeobox 1, Nanog, and SRY-box 2. This RNA may also have a extracellular role in modulating response to hypoxia in hepatocellular cancer cells. Expression of this transcript is associated with tumor progression and epithelial to mesenchymal transition and metastasis.
140828	This gene produces a long non-coding RNA that acts as a negative regulator of cell growth. This transcript may promote differentiation and apoptosis.
220930	This locus produces long non-coding RNA that is transcribed from a shared bi-directional promoter with zinc finger E-box binding homeobox 1 (ZEB1). This transcript binds lysine methyltransferase 2A and promotes histone modifications that are thought to promote expression of ZEB1. Expression of this gene is correlated with tumor progression. Alternative splicing results in multiple transcript variants.
441951	This gene represents a snoRNA host gene that produces a non-coding RNA. Increased expression or amplification of this locus is associated with cancer progression and metastasis. This transcript regulates expression of genes involved in differentiation. It may act a molecular sponge for microRNAs. Alternatively spliced transcript variants have been observed.
8847	This locus represents a microRNA host gene and also produces long alternatively spliced non-coding RNAs. This genome region was observed to be deleted or epigenetically suppressed in leukemia, and was implicated as a negative regulator of cell proliferation. However, an alternative transcript produced at this locus was also found to promote progression through the cell cycle via angiotensin I converting enzyme 2 and cyclin D1.
100048912	This gene is located within the CDKN2B-CDKN2A gene cluster at chromosome 9p21. The gene product is a functional RNA molecule that interacts with polycomb repressive complex-1 (PRC1) and -2 (PRC2), leading to epigenetic silencing of other genes in this cluster. This region is a significant genetic susceptibility locus for cardiovascular disease, and has also been linked to a number of other pathologies, including several cancers, intracranial aneurysm, type-2 diabetes, periodontitis, Alzheimer's disease, endometriosis, frailty in the elderly, and glaucoma. Multiple alternatively processed transcript variants have been detected, some of which may take the form of circular RNA molecules (PMID:21151960).
400550	This gene produces a spliced long non-coding RNA transcribed bidirectionally with FOXF1 on the opposite strand. A similar gene in mouse is essential for normal development of the heart and body wall. The encoded transcript is thought to act by binding to polycomb repressive complex 2 (PRC2) and/or TrxG/MLL complexes to promote the methylation of the promoters of target genes, thus reducing their expression. It has been suggested that this transcript may play a role in the progression of gastric cancer. Alternatively spliced transcript variants have been identified.
400500	This gene produces a spliced long non-coding RNA (lncRNA) that has been implicated in breast cancer metastasis. It was originally identified in a screen for genes responsible for the development of resistance to anti-estrogens in breast cancer cells. It is thought that release of CCL21 enables this lncRNA to bind to the SNIP1 and PNUTS transcription factors, thereby activating a non-canonical GLI-dependent hedgehog signaling pathway that promotes cancer cell migration and invasion. A similar gene in cow expresses a protein in mature oocytes and preimplantation embryos. Alternatively spliced transcript variants have been identified.
60674	This gene produces a spliced long non-coding RNA and is a member of the 5' terminal oligo-pyrimidine class of genes. It is a small nucleolar RNA host gene, containing multiple C/D box snoRNA genes in its introns. Part of the secondary RNA structure of the encoded transcript mimics glucocorticoid response element (GRE) which means it can bind to the DNA binding domain of the glucocorticoid receptor (nuclear receptor subfamily 3, group C, member 1). This action blocks the glucocorticoid receptor from being activated and thereby stops it from regulating the transcription of its target genes. This transcript is also thought to regulate the transcriptional activity of other receptors, such as androgen, progesterone and mineralocorticoid receptors, that can bind to its GRE mimic region. Multiple functions have been associated with this transcript, including cellular growth arrest and apoptosis. It has also been identified as a potential tumor suppressor, with its down-regulation associated with cancer in multiple different tissues.
100048912	This gene is located within the CDKN2B-CDKN2A gene cluster at chromosome 9p21. The gene product is a functional RNA molecule that interacts with polycomb repressive complex-1 (PRC1) and -2 (PRC2), leading to epigenetic silencing of other genes in this cluster. This region is a significant genetic susceptibility locus for cardiovascular disease, and has also been linked to a number of other pathologies, including several cancers, intracranial aneurysm, type-2 diabetes, periodontitis, Alzheimer's disease, endometriosis, frailty in the elderly, and glaucoma. Multiple alternatively processed transcript variants have been detected, some of which may take the form of circular RNA molecules (PMID:21151960).
283131	This gene produces a long non-coding RNA (lncRNA) transcribed from the multiple endocrine neoplasia locus. This lncRNA is retained in the nucleus where it forms the core structural component of the paraspeckle sub-organelles. It may act as a transcriptional regulator for numerous genes, including some genes involved in cancer progression.
23642	This locus represents a small nucleolar RNA host gene that produces multiple alternatively spliced long non-coding RNAs. This gene is upregulated in cancers and is thought to act as promoter of cell proliferation. This transcript negatively regulates tumor suppressor genes such as tumor protein p53. Expression of this locus may be a marker of tumor progression.
100302692	This gene is located upstream of XIST, within the X-inactivation center (XIC). It produces a spliced long non-coding RNA that is thought to positively regulate the expression of XIST, which is essential for the initiation and spread of X-inactivation.
104564225	This gene encodes a spliced long non-coding RNA that may act as a cardioprotective agent in the heart. Based on a study of a similar gene in mouse, the encoded transcript may regulate chromatin remodeling by acting as a decoy to the BRG1 chromatin repressor complex thus preventing it from binding to its genomic targets. Blocking the actions of BRG1 could be crucial in protecting the heart from pathological hypertrophy.
100379571	This gene encodes an unspliced long non-coding RNA transcribed from the opposite strand to BACE1. The encoded transcript is thought to form an RNA duplex with BACE1 mRNA thereby regulating its expression and is also thought to promote post-transcriptional feed-forward regulation of BACE1. This may lead to increased levels of beta amyloid and increased senile plaque deposition, and therefore may play a role in the pathophysiology of Alzheimer's disease.
55384	This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor.
645323	This is an evolutionarily conserved gene that produces alternatively spliced long non-coding RNAs that may be expressed predominantly in the brain and visual cortex. These transcripts may be involved in tumorigenesis, as depletion by siRNA suppressed glioma cell division. Transcripts may also bind to and regulate the activity of miR-411-5p and argonaut 2, thereby altering the expression of genes involved in tumor growth.
728655	This gene produces a long RNA that was discovered as upregulated in hepatocellular carcinoma and is associated with cancer progression. Expression of this transcript is regulated by microRNAs and at the transcriptional level by Sp1 family factors. The transcript may regulate gene expression by functioning as a competing RNA for microRNAs.
85028	This gene produces a long RNA that is overexpressed in tumor cells. This RNA may promote tumorigenesis by acting as a sponge for microRNAs.
85028	This gene produces a long RNA that is overexpressed in tumor cells. This RNA may promote tumorigenesis by acting as a sponge for microRNAs.
8847	This locus represents a microRNA host gene and also produces long alternatively spliced non-coding RNAs. This genome region was observed to be deleted or epigenetically suppressed in leukemia, and was implicated as a negative regulator of cell proliferation. However, an alternative transcript produced at this locus was also found to promote progression through the cell cycle via angiotensin I converting enzyme 2 and cyclin D1.
440823	This gene encodes a spliced long non-coding RNA that may constitute a component of the nuclear matrix. Altered expression of this locus has been reported to be associated with a susceptibility to myocardial infarction. It has also been proposed that pathways involving this transcript may contribute to the pathophysiology of schizophrenia. A similar gene in mouse has been associated with retinal cell fate determination. Alternatively spliced transcript variants have been identified.
80161	This gene serves as the antisense to the acetylserotonin O-methyltransferase-like gene. Multiple non-coding transcript variants have been found for this gene.
23642	This locus represents a small nucleolar RNA host gene that produces multiple alternatively spliced long non-coding RNAs. This gene is upregulated in cancers and is thought to act as promoter of cell proliferation. This transcript negatively regulates tumor suppressor genes such as tumor protein p53. Expression of this locus may be a marker of tumor progression.
283131	This gene produces a long non-coding RNA (lncRNA) transcribed from the multiple endocrine neoplasia locus. This lncRNA is retained in the nucleus where it forms the core structural component of the paraspeckle sub-organelles. It may act as a transcriptional regulator for numerous genes, including some genes involved in cancer progression.
55384	This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor.
100048912	This gene is located within the CDKN2B-CDKN2A gene cluster at chromosome 9p21. The gene product is a functional RNA molecule that interacts with polycomb repressive complex-1 (PRC1) and -2 (PRC2), leading to epigenetic silencing of other genes in this cluster. This region is a significant genetic susceptibility locus for cardiovascular disease, and has also been linked to a number of other pathologies, including several cancers, intracranial aneurysm, type-2 diabetes, periodontitis, Alzheimer's disease, endometriosis, frailty in the elderly, and glaucoma. Multiple alternatively processed transcript variants have been detected, some of which may take the form of circular RNA molecules (PMID:21151960).
378938	This gene produces a precursor transcript from which a long non-coding RNA is derived by RNase P cleavage of a tRNA-like small ncRNA (known as mascRNA) from its 3' end. The resultant mature transcript lacks a canonical poly(A) tail but is instead stabilized by a 3' triple helical structure. This transcript is retained in the nucleus where it is thought to form molecular scaffolds for ribonucleoprotein complexes. It may act as a transcriptional regulator for numerous genes, including some genes involved in cancer metastasis and cell migration, and it is involved in cell cycle regulation. Its upregulation in multiple cancerous tissues has been associated with the proliferation and metastasis of tumor cells.
643911	This gene is transcribed into multiple transcript variants, some of which may function as non-coding RNAs. One of the transcript variants encodes a putative short protein that is localized to the nucleus (PMID:25978564). Expression of this locus is increased in proliferating tissues, including certain tumors such as colorectal adenomas and adenocarcinomas. Transcription from this gene is negatively regulated by insulin and insulin-like growth factors, and may regulate the expression of genes involved in metabolism.
23642	This locus represents a small nucleolar RNA host gene that produces multiple alternatively spliced long non-coding RNAs. This gene is upregulated in cancers and is thought to act as promoter of cell proliferation. This transcript negatively regulates tumor suppressor genes such as tumor protein p53. Expression of this locus may be a marker of tumor progression.
400500	This gene produces a spliced long non-coding RNA (lncRNA) that has been implicated in breast cancer metastasis. It was originally identified in a screen for genes responsible for the development of resistance to anti-estrogens in breast cancer cells. It is thought that release of CCL21 enables this lncRNA to bind to the SNIP1 and PNUTS transcription factors, thereby activating a non-canonical GLI-dependent hedgehog signaling pathway that promotes cancer cell migration and invasion. A similar gene in cow expresses a protein in mature oocytes and preimplantation embryos. Alternatively spliced transcript variants have been identified.
5820	This gene represents a long non-coding RNA locus that has been identified as a candidate oncogene. Increased copy number and overexpression of this gene are associated with many types of cancers including breast and ovarian cancers, acute myeloid leukemia and Hodgkin lymphoma. Allelic variants of this gene are also associated with end-stage renal disease attributed to type 1 diabetes. Consistent with its association with various types of cancer, transcription of this gene is regulated by the tumor suppressor p53 through a canonical p53-binding site, and it has been implicated in regulating levels of the proto-oncogene MYC to promote tumorigenesis.
55384	This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor.
50652	This gene produces a spliced, long non-coding RNA that is highly overexpressed in most types of prostate cancer cells and is used as a specific biomarker for this type of cancer. This gene is embedded in an intronic region of the prune2 gene on the opposite DNA strand. The transcript regulates prune2 levels through formation of a double-stranded RNA that undergoes adenosine deaminase acting on RNA-dependent adenosine-to-inosine RNA editing. In prostate cancer derived cells, overexpression of PCA induced downregulation of prune2, leading to decreased cell proliferation. Conversely, silencing in prostate cancer cells resulted in increased proliferation. Regulation of this gene appears to be sensitive to androgen-receptor activation, a molecular signature of prostate cancer. Alternative splicing results in multiple transcript variants.
55384	This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor.
285958	This gene represents a snoRNA host gene that produces a short-lived long non-coding RNA. This non-coding RNA is upregulated in tumor cells and may contribute to cell proliferation by acting as a sponge for microRNAs.
50652	This gene produces a spliced, long non-coding RNA that is highly overexpressed in most types of prostate cancer cells and is used as a specific biomarker for this type of cancer. This gene is embedded in an intronic region of the prune2 gene on the opposite DNA strand. The transcript regulates prune2 levels through formation of a double-stranded RNA that undergoes adenosine deaminase acting on RNA-dependent adenosine-to-inosine RNA editing. In prostate cancer derived cells, overexpression of PCA induced downregulation of prune2, leading to decreased cell proliferation. Conversely, silencing in prostate cancer cells resulted in increased proliferation. Regulation of this gene appears to be sensitive to androgen-receptor activation, a molecular signature of prostate cancer. Alternative splicing results in multiple transcript variants.
