Lncbook_id,Noncode_id,UID,Lncbook_trans_id,chr,start,end,strand,exon_num,exon_pos,NONCODE_TRANSCRIPT_ID,transcript_id,Organism
HSALNG0000547,NONHSAG000253.3,ELH000218,HSALNT0001144,chr1,6781089,6784982,-,1,6781089-6784982,,HSALNT0001144,Human
HSALNG0000547,NONHSAG000253.3,ELH000218,HSALNT0290060,chr1,6783534,6785326,-,1,6783534-6785326,,HSALNT0290060,Human
HSALNG0000547,NONHSAG000253.3,ELH000218,HSALNT0290061,chr1,6783892,6784843,-,3,"6784658-6784843,6784149-6784223,6783892-6784045",,HSALNT0290061,Human
HSALNG0000547,NONHSAG000253.3,ELH000218,HSALNT0290062,chr1,6783715,6784982,-,1,6783715-6784982,,HSALNT0290062,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0001416,chr1,9182188,9191952,+,5,"9182188-9182318,9183633-9183807,9183954-9184243,9190834-9191124,9191393-9191952",,HSALNT0001416,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0001417,chr1,9182189,9186390,+,3,"9182189-9182316,9183633-9183807,9183954-9186390",,HSALNT0001417,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0001418,chr1,9182189,9192154,+,4,"9182189-9182316,9183633-9183807,9183954-9183987,9191393-9192154",,HSALNT0001418,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0001420,chr1,9182213,9191540,+,5,"9182213-9182317,9183634-9183797,9183955-9184007,9191065-9191125,9191394-9191540",,HSALNT0001420,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0001421,chr1,9183499,9191856,+,2,"9183499-9183807,9191393-9191856",,HSALNT0001421,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290182,chr1,9181422,9192086,+,4,"9181422-9182316,9183633-9183807,9191040-9191124,9191393-9192086",,HSALNT0290182,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290183,chr1,9181550,9194823,+,3,"9181550-9182316,9183633-9183807,9191393-9194823",,HSALNT0290183,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290184,chr1,9182004,9196284,+,3,"9182004-9182316,9183633-9183807,9195885-9196284",,HSALNT0290184,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290185,chr1,9182204,9192086,+,3,"9182204-9182316,9183633-9183807,9191393-9192086",,HSALNT0290185,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290186,chr1,9191048,9191967,+,2,"9191048-9191124,9191393-9191967",,HSALNT0290186,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290188,chr1,9182164,9192089,+,3,"9182164-9182316,9183633-9183807,9191393-9192089",,HSALNT0290188,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290189,chr1,9191038,9192089,+,2,"9191038-9191124,9191393-9192089",,HSALNT0290189,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290190,chr1,9182178,9192089,+,4,"9182178-9182316,9183633-9183807,9187536-9187789,9191393-9192089",,HSALNT0290190,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290191,chr1,9182165,9192094,+,4,"9182165-9182316,9183633-9183807,9191040-9191124,9191393-9192094",,HSALNT0290191,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290192,chr1,9182214,9185386,+,3,"9182214-9182316,9183633-9183807,9185177-9185386",,HSALNT0290192,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290193,chr1,9183124,9192086,+,2,"9183124-9183807,9191393-9192086",,HSALNT0290193,Human
HSALNG0000685,NONHSAG000311.3,ELH000232,HSALNT0290194,chr1,9183124,9192086,+,2,"9183124-9183987,9191393-9192086",,HSALNT0290194,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006414,chr1,47380669,47386969,-,2,"47380669-47381143,47386248-47386969",,HSALNT0006414,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006415,chr1,47380669,47408967,-,3,"47380669-47381143,47386248-47386356,47408320-47408967",,HSALNT0006415,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006416,chr1,47380669,47417303,-,5,"47380669-47381143,47386248-47386356,47408320-47408475,47409682-47409901,47417231-47417303",,HSALNT0006416,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006422,chr1,47380746,47437685,-,5,"47380746-47381143,47386248-47386356,47408320-47408475,47409682-47409901,47437290-47437685",,HSALNT0006422,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006423,chr1,47380746,47437685,-,3,"47380746-47381143,47408320-47408475,47437290-47437685",,HSALNT0006423,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006424,chr1,47380746,47437671,-,5,"47380746-47381143,47386248-47386356,47407462-47407559,47408320-47408475,47437290-47437671",,HSALNT0006424,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006425,chr1,47380746,47410553,-,4,"47380746-47381143,47408320-47408475,47409682-47409901,47410291-47410553",,HSALNT0006425,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006426,chr1,47380796,47437317,-,5,"47380796-47381143,47386248-47386356,47408320-47408475,47409682-47409901,47437290-47437317",,HSALNT0006426,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006428,chr1,47380850,47388849,-,3,"47380850-47381143,47386248-47386356,47388825-47388849",,HSALNT0006428,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006434,chr1,47407545,47408585,-,2,"47407545-47407559,47408320-47408585",,HSALNT0006434,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006436,chr1,47430175,47437373,-,2,"47430175-47434641,47437290-47437373",,HSALNT0006436,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006439,chr1,47432133,47434641,-,1,47432133-47434641,,HSALNT0006439,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0006440,chr1,47435750,47437695,-,1,47435750-47437695,,HSALNT0006440,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0291998,chr1,47357154,47417276,-,6,"47357154-47357195,47380660-47381143,47386248-47386356,47408320-47408475,47409682-47409901,47417231-47417276",,HSALNT0291998,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0291999,chr1,47362497,47391609,-,3,"47362497-47362534,47385637-47385939,47391568-47391609",,HSALNT0291999,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292000,chr1,47362499,47437357,-,3,"47362499-47362534,47380510-47381143,47437290-47437357",,HSALNT0292000,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292001,chr1,47380796,47408477,-,3,"47380796-47381143,47386248-47386356,47408320-47408477",,HSALNT0292001,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292002,chr1,47380796,47437317,-,5,"47437290-47437317,47409682-47409901,47408320-47408475,47386248-47386356,47380796-47381143",,HSALNT0292002,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292003,chr1,47380797,47437316,-,2,"47380797-47381143,47437290-47437316",,HSALNT0292003,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292004,chr1,47380797,47437316,-,3,"47380797-47381143,47386248-47386356,47437290-47437316",,HSALNT0292004,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292005,chr1,47433530,47437695,-,2,"47433530-47434641,47437290-47437695",,HSALNT0292005,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292006,chr1,47380928,47408477,-,3,"47408320-47408477,47386248-47386356,47380928-47381143",,HSALNT0292006,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292007,chr1,47424548,47437695,-,1,47424548-47437695,,HSALNT0292007,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292008,chr1,47432136,47437563,-,1,47432136-47437563,,HSALNT0292008,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292009,chr1,47432136,47435549,-,1,47432136-47435549,,HSALNT0292009,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292010,chr1,47432136,47437695,-,1,47432136-47437695,,HSALNT0292010,Human
HSALNG0003395,NONHSAG001375.3,ELH000206,HSALNT0292011,chr1,47432136,47437533,-,1,47432136-47437533,,HSALNT0292011,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008147,chr1,63320764,63323169,-,4,"63320764-63321190,63321367-63321463,63321625-63322535,63323048-63323169",,HSALNT0008147,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008148,chr1,63320764,63322535,-,4,"63320764-63321190,63321367-63321463,63321665-63321944,63322316-63322535",,HSALNT0008148,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008149,chr1,63320764,63322795,-,3,"63320764-63321190,63321367-63321463,63321625-63322795",,HSALNT0008149,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008150,chr1,63320764,63322795,-,3,"63320764-63321190,63321367-63321463,63322316-63322795",,HSALNT0008150,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008151,chr1,63320764,63322795,-,3,"63320764-63321190,63321367-63321463,63321665-63322795",,HSALNT0008151,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008152,chr1,63320764,63323160,-,4,"63320764-63321190,63321367-63321463,63321665-63322535,63323048-63323160",,HSALNT0008152,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008153,chr1,63320764,63323546,-,5,"63320764-63321190,63321367-63321463,63322316-63322535,63323048-63323160,63323497-63323546",,HSALNT0008153,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008154,chr1,63320764,63323546,-,4,"63320764-63321190,63321367-63321463,63323048-63323160,63323491-63323546",,HSALNT0008154,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008155,chr1,63320764,63323546,-,5,"63320764-63321190,63321367-63321463,63322316-63322535,63323048-63323160,63323491-63323546",,HSALNT0008155,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008157,chr1,63320770,63322175,-,3,"63320770-63321190,63321367-63321463,63321584-63322175",,HSALNT0008157,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008160,chr1,63320884,63321529,-,2,"63320884-63321190,63321367-63321529",,HSALNT0008160,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008162,chr1,63320884,63322447,-,4,"63320884-63321190,63321367-63321463,63321665-63322080,63322316-63322447",,HSALNT0008162,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008163,chr1,63320884,63322447,-,3,"63320884-63321190,63321367-63321463,63322316-63322447",,HSALNT0008163,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008165,chr1,63320884,63323675,-,3,"63320884-63321190,63321367-63321463,63323491-63323675",,HSALNT0008165,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008166,chr1,63320884,63323582,-,3,"63320884-63321190,63321367-63321463,63323491-63323582",,HSALNT0008166,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008167,chr1,63320884,63322458,-,4,"63320884-63321190,63321367-63321463,63321665-63322080,63322316-63322458",,HSALNT0008167,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008168,chr1,63320884,63322436,-,4,"63320884-63321190,63321367-63321463,63321665-63322080,63322316-63322436",,HSALNT0008168,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008169,chr1,63320886,63322288,-,3,"63320886-63321190,63321367-63321463,63321625-63322288",,HSALNT0008169,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008170,chr1,63320886,63323729,-,3,"63320886-63321190,63321367-63321463,63323497-63323729",,HSALNT0008170,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008171,chr1,63320886,63322428,-,3,"63320886-63321190,63321367-63321463,63322316-63322428",,HSALNT0008171,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0008173,chr1,63320921,63322345,-,3,"63320921-63321190,63321363-63321463,63322316-63322345",,HSALNT0008173,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0292842,chr1,63320764,63323742,-,6,"63320764-63321190,63321367-63321463,63321625-63322080,63322316-63322535,63323048-63323160,63323491-63323742",,HSALNT0292842,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0292843,chr1,63320946,63323670,-,5,"63320946-63321190,63321367-63321463,63322316-63322535,63323048-63323160,63323491-63323670",,HSALNT0292843,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0292844,chr1,63320770,63322175,-,3,"63320770-63321190,63321367-63321463,63321625-63322175",,HSALNT0292844,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0292845,chr1,63320946,63323390,-,5,"63320946-63321190,63321367-63321463,63322316-63322535,63323048-63323160,63323333-63323390",,HSALNT0292845,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0292846,chr1,63320884,63322436,-,4,"63322316-63322436,63321665-63322080,63321367-63321463,63320884-63321190",,HSALNT0292846,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0292848,chr1,63320884,63324441,-,3,"63324355-63324441,63321367-63321463,63320884-63321190",,HSALNT0292848,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0292849,chr1,63320884,63323582,-,3,"63323491-63323582,63321367-63321463,63320884-63321190",,HSALNT0292849,Human
HSALNG0004109,NONHSAG001696.3,ELH000214,HSALNT0292850,chr1,63320884,63322458,-,3,"63322316-63322458,63321367-63321463,63320884-63321190",,HSALNT0292850,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0016234,chr1,159961219,159979062,+,4,"159961219-159961406,159965500-159965646,159976645-159977113,159978601-159979062",,HSALNT0016234,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0016236,chr1,159961218,159979061,+,4,"159961218-159961405,159965499-159965645,159976644-159977112,159978600-159979061",,HSALNT0016236,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0016238,chr1,159961224,159979061,+,3,"159961224-159961405,159976644-159977112,159978600-159979061",,HSALNT0016238,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0016239,chr1,159961224,159979086,+,3,"159961224-159961405,159976644-159977112,159978600-159979086",,HSALNT0016239,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0016241,chr1,159961257,159979061,+,3,"159961257-159961405,159976644-159977112,159978600-159979061",,HSALNT0016241,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0016242,chr1,159961257,159980204,+,4,"159961257-159961405,159965499-159965645,159976644-159977112,159978600-159980204",,HSALNT0016242,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0016245,chr1,159961299,159984750,+,3,"159961299-159961405,159980562-159980636,159982937-159984750",,HSALNT0016245,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0296131,chr1,159961151,159979280,+,3,"159961151-159961405,159976644-159977112,159978600-159979280",,HSALNT0296131,Human
HSALNG0007801,NONHSAG003198.3,ELH000072,HSALNT0296132,chr1,159958035,159979090,+,4,"159958035-159958269,159961183-159961405,159976644-159977112,159978600-159979090",,HSALNT0296132,Human
