Noncode_id	Lncbook_id	UID	lib_id	gene_name	ensembl_id	num_id	PMID	NCBI_id	reason	Organism	Go_annotation	Alias	description	chr	start	end	strand	cancer_related	disease_related	vivo	vitro
NONMMUG041781.3	N.A.	ELM000001	Fendrr	Fendrr		1162	24381249	68790	The mouse knock-out model of Fendrr was seen to have defects in lungs, heart and gastrointestinal tract.	Mouse	This gene encodes a spliced long non-coding RNA transcribed from a bidirectional promoter shared with Foxf1 on the opposite strand. The encoded transcript is essential for normal development of the heart and body wall. It is thought to act by binding to polycomb repressive complex 2 (PRC2) and/or TrxG/MLL complexes to promote the methylation of the promoters of target genes, thus reducing their expression. It plays a role in cell fate determination in tissues derived from the lateral plate mesoderm. Knockout models reveal loss of this gene is lethal in mice. Alternatively spliced transcript variants have been identified.	Foxf1 adjacent non-coding developmental regulatory RNA;LL66; linc-F; lincFoxf1; linc-Foxf1a; 1110050K14Rik		chr8	121054792	121083111	-	0	0	1	0
NONMMUG026355.2	N.A.	ELM000002	Gm38509	Gm38509		1163	24381249	102638436	peril knockout mice have reduced viability and die shortly after birth.	Mouse	N.A.	predicted gene, 38509;Peril		chr3	34762518	34782392	+	0	0	1	0
NONMMUG023454.3	N.A.	ELM000003	Haglr	Haglr		1164	24381249	102634678	Deletion of Mdgt results in viability defects.	Mouse	multicellular organism growth.(GO:0035264)	Hoxd antisense growth associated long non-coding RNA;Mdgt; Hoxd-as1; 6720416L17Rik		chr2	74748421	74762897	-	0	0	1	0
NONMMUG000508.2	N.A.	ELM000004	Pantr2	Pantr2		1165	24381249	66620	linc–Brn1b knockout mice exhibit a decrease in proliferation of cortical progenitors in vivo, and that this defect is restricted to a specific subpopulation of progenitors in the SVZ of the developing cortex.	Mouse	Acts upstream of or within cerebellar cortex structural organization; homeostasis of number of cells within a tissue; and regulation of gene expression. Located in cytoplasm and nucleus. Is expressed in brain; cortical layer V; hippocampus CA1; lateral habenular nucleus; and medial habenular nucleus.(GO:0005737,GO:0005634, GO:0021698,GO:0048873,GO:0035264)	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2;Pou3f; linc-; Pou3f3os2; linc-Brn1b; 2610207O16Rik		chr1	42707071	42713708	-	0	0	1	0
NONMMUG034886.3	N.A.	ELM000005	Lncpint	Lncpint		1166	24070194	232685	In mouse cells, Pint promotes cell proliferation and survival by regulating the expression of genes of the TGF-b, MAPK and p53 pathways. Pint is necessary for regulation of normal cell growth and proliferation, and in the presence of DNA damage, Pint acts as a negative regulator of cell cycle arrest and as a pro-survival molecule, modulating the effect of p53 activation through a negative autoregulatory mechanism.	Mouse	Involved in several processes, including adipose tissue development; adult somatic muscle development; and hair follicle development. Orthologous to human LINC-PINT (long intergenic non-protein coding RNA, p53 induced transcript).	long non-protein coding RNA, Trp53 induced transcript;P; Li; Lin; Pint; AB04180; Lincpint; MNCb-176; MNCb-1768; linc-Pint		chr6	31063747	31220240	-	0	0	1	0
NONMMUG045568.3	N.A.	ELM000006	Tsix	Tsix		1167	11262229	22097	Tsix plays a crucial role in maintaining Xist silencing in cis and in regulation of imprinted X-inactivation in the extra-embryonic tissues.	Mouse	Acts upstream of or within epigenetic maintenance of chromatin in transcription-competent conformation; inactivation of paternal X chromosome; and negative regulation of transcription by RNA polymerase II. Is expressed in several structures, including early conceptus; liver; placenta; and retina nuclear layer. Orthologous to human TSIX (TSIX transcript, XIST antisense RNA).(GO:0005515，GO:0032403，GO:0048096，GO:0009048，GO:0060817，GO:0000122)	X (inactive)-specific transcript, opposite strand		chrX	103431516	103484958	+	0	0	1	0
NONMMUG002239.2	N.A.	ELM000007	Dnm3os	Dnm3os		1168	18985749	474332	Dnm3os,is Required for Normal Growth and Skeletal Development in Mice.	Mouse	Acts upstream of or within bone mineralization and skeletal system development. Is expressed in several structures, including alimentary system; embryo mesenchyme; genitourinary system; heart; and limb.(GO:0003674 ,GO:0005575,GO:0030282, GO:0001501)	dynamin 3, opposite strand		chr1	162217622	162225550	+	0	0	1	0
NONMMUG013211.2	N.A.	ELM000008	Mir124a-1hg	Mir124a-1hg		1169	25697062	268755	the miR-124 promoted the differentiation of neuronal cells from BMMSCs, and this mechanism was miR-124 reduced the expression of PTBP1, increased the expression of PTBP2.	Mouse	Involved in several processes, including gene silencing by miRNA; long-term synaptic potentiation; and sensory perception of sound.	Mir124-1 host gene (non-protein coding);Rn; Rncr3; mir-3078; mir-124-1; A930011O12Rik		chr14	64587286	64593961	+	0	0	1	0
NONMMUG009962.3	N.A.	ELM000009	Meg3	Meg3		1170	22393162	17263	Maternal deletion of the Meg3 gene in mice results in skeletal muscle defects and perinatal death.	Mouse	This gene is paternally-imprinted and thus expressed predominantly from the maternal allele. It generates alternatively-spliced long non protein-coding RNAs that overlap with the microRNAs Mir770 and Mir1906-1. Transcripts from this gene function as negative regulators of growth and may be down-regulated in tumor cells. This gene is expressed in a reciprocal pattern from the nearby Dlk1 (delta-like 1 homolog) gene, which is paternally-expressed. Deletion of this locus disrupts imprinting in this genomic region and results in perinatal morbidity.	maternally expressed 3;Gtl; Gtl2; R74756; R75394; AI425946; AW108224; D12Bwg1266e; 2900016C05Rik; 3110050O07Rik; 6330408G06Rik		chr12	109540995	109571729	+	0	0	1	0
NONMMUG038355.2	N.A.	ELM000010	Chaserr	Chaserr		1174	31704914	69170	Loss of Chaserr in mice leads to early postnatal lethality in homozygous mice, and severe growth retardation in heterozygotes.Regulation of CHD2 expression by the Chaserr long noncoding RNA gene is essential for viability.	Mouse	Involved in several processes, including adipose tissue development; regulation of gene expression; and thymus development. Is active in chromatin and nucleus. Is expressed in brain; embryo; liver; spleen; and thymus. Orthologous to human CHASERR (CHD2 adjacent suppressive regulatory RNA).	CHD2 adjacent suppressive regulatory RNA ;linc2025; 1810026B05Rik		chr7	73539202	73561696	-	0	0	1	0
