UID	Lncbook_id	Noncode_id	chr	start	end	strand
ELH000147	HSALNG0000229	NONHSAG057419.1	chr1	2189825	2235354	-
ELH000004	HSALNG0000754	N.A.	chr1	10247242	10260138	-
ELH000006	HSALNG0000758	N.A.	chr1	10339025	10354118	-
ELH000007	HSALNG0000760	N.A.	chr1	10357983	10366735	-
ELH000008	HSALNG0000761	NONHSAG057488.2	chr1	10368416	10398831	-
ELH000088	HSALNG0001268	N.A.	chr1	17373170	17377477	-
ELH000130	HSALNG0001461	NONHSAG000579.3	chr1	20642657	20652210	-
ELH000135	HSALNG0001515	N.A.	chr1	21440150	21457172	+
ELH000137	HSALNG0001533	N.A.	chr1	21819823	21823488	+
ELH000140	HSALNG0001535	NONHSAG105321.1	chr1	21835153	21836917	-
ELH000144	HSALNG0001536	N.A.	chr1	21852560	21856151	+
ELH000145	HSALNG0001537	N.A.	chr1	21857015	21860229	-
ELH000146	HSALNG0001538	NONHSAG000616.2	chr1	21872630	21874537	-
ELH000160	HSALNG0001636	N.A.	chr1	23539869	23574101	+
ELH000187	HSALNG0002304	NONHSAG000938.3	chr1	32231560	32289736	-
ELH000189	HSALNG0002366	NONHSAG000967.2	chr1	32984295	33032469	+
ELH000195	HSALNG0002922	N.A.	chr1	41003156	41011754	+
ELH000196	HSALNG0003027	NONHSAG056385.1	chr1	42731636	42755945	+
ELH000202	HSALNG0003215	NONHSAG001284.3	chr1	44781870	44869447	+
ELH000203	HSALNG0003310	NONHSAG056416.1	chr1	46228410	46255062	+
ELH000205	HSALNG0003395	NONHSAG001375.3	chr1	47357154	47437695	-
ELH000216	HSALNG0004167	NONHSAG056517.1	chr1	64787837	65202396	+
ELH000221	HSALNG0004491	NONHSAG056557.1	chr1	74350018	74398685	+
ELH000220	HSALNG0004492	NONHSAG001837.2	chr1	74341579	74378802	-
ELH000230	HSALNG0005171	N.A.	chr1	91732731	91735609	+
ELH000236	HSALNG0005347	NONHSAG002134.2	chr1	94983189	95027203	-
ELH000237	HSALNG0005351	NONHSAG002135.2	chr1	95061434	95067605	+
ELH000001	HSALNG0005519	NONHSAG057985.1	chr1	100187538	100215618	-
ELH000002	HSALNG0005521	N.A.	chr1	100218710	100253414	+
ELH000005	HSALNG0005615	N.A.	chr1	102914389	103108157	+
ELH000021	HSALNG0006082	NONHSAG058034.1	chr1	111978757	112162051	-
ELH000020	HSALNG0006084	N.A.	chr1	111939795	111999349	+
ELH000026	HSALNG0006287	NONHSAG056768.1	chr1	115720899	115727431	+
ELH000027	HSALNG0006288	NONHSAG058054.1	chr1	115724223	115725691	-
ELH000028	HSALNG0006289	N.A.	chr1	115750117	115790686	+
ELH000034	HSALNG0006512	NONHSAG105516.1	chr1	119743883	119744212	-
ELH000044	HSALNG0006799	NONHSAG002731.2	chr1	147258885	147517918	-
ELH000069	HSALNG0007683	NONHSAG056890.1	chr1	157517950	157705524	+
ELH000071	HSALNG0007689	NONHSAG056891.1	chr1	157570916	157711449	+
ELH000074	HSALNG0007932	NONHSAG003260.2	chr1	161323614	161363187	+
ELH000075	HSALNG0007958	NONHSAG003269.2	chr1	161513176	161605656	+
ELH000082	HSALNG0008229	N.A.	chr1	167431173	167435829	-
ELH000089	HSALNG0008544	NONHSAG056978.1	chr1	173823609	173834869	+
ELH000090	HSALNG0008545	NONHSAG003504.3	chr1	173851285	173869006	-
ELH000098	HSALNG0009325	N.A.	chr1	193121267	193130659	-
ELH000099	HSALNG0009326	N.A.	chr1	193207020	193217254	-
ELH000101	HSALNG0009329	N.A.	chr1	193253829	193265208	-
ELH000102	HSALNG0009430	NONHSAG058355.1	chr1	197074115	197204051	-
ELH000104	HSALNG0009507	NONHSAG057083.1	chr1	198678328	198744915	+
ELH000105	HSALNG0009511	NONHSAG059767.2	chr1	198774917	198937540	-
ELH000107	HSALNG0009519	NONHSAG003886.2	chr1	198878407	198916300	+
ELH000108	HSALNG0009521	NONHSAG003884.2	chr1	198898730	198906565	+
ELH000115	HSALNG0009615	NONHSAG003911.3	chr1	201023944	201043074	+
ELH000116	HSALNG0009617	NONHSAG057094.1	chr1	201052809	201060506	+
ELH000120	HSALNG0009618	NONHSAG057096.1	chr1	201086889	201093848	+
ELH000124	HSALNG0009720	NONHSAG003957.2	chr1	202331677	202333478	-
ELH000138	HSALNG0010602	NONHSAG004303.3	chr1	218344159	218346319	-
ELH000141	HSALNG0010604	NONHSAG057222.1	chr1	218442626	218443996	+
ELH000142	HSALNG0010605	N.A.	chr1	218444447	218445857	-
ELH000148	HSALNG0010704	NONHSAG058485.1	chr1	220108328	220131386	-
ELH000154	HSALNG0011325	N.A.	chr1	229430444	229434234	+
ELH000157	HSALNG0011590	NONHSAG004673.3	chr1	234291306	234407375	+
ELH000159	HSALNG0011591	NONHSAG004674.3	chr1	234365245	234373652	-
ELH000161	HSALNG0011706	NONHSAG058580.1	chr1	235419515	235426983	-
ELH000166	HSALNG0011807	NONHSAG058585.1	chr1	237336348	237364560	-
ELH000167	HSALNG0011808	N.A.	chr1	237527577	237543077	-
ELH000169	HSALNG0011810	N.A.	chr1	237670258	237675863	-
ELH000170	HSALNG0011812	NONHSAG058586.1	chr1	237782304	237807006	-
ELH000173	HSALNG0012262	N.A.	chr1	247439377	247519231	-
ELH001571	HSALNG0012576	NONHSAG026852.2	chr2	3467910	3483253	-
ELH001460	HSALNG0013205	NONHSAG078488.1	chr2	15914499	15980336	-
ELH001461	HSALNG0013206	NONHSAG027075.3	chr2	15918350	15942249	-
ELH001478	HSALNG0013298	NONHSAG027110.2	chr2	17762472	17801323	-
ELH001551	HSALNG0013707	NONHSAG027276.2	chr2	26193779	26197679	+
ELH001553	HSALNG0013708	NONHSAG077211.1	chr2	26197720	26198634	+
ELH001554	HSALNG0013709	N.A.	chr2	26200799	26203267	+
ELH001555	HSALNG0013710	NONHSAG027278.2	chr2	26213065	26215013	+
ELH001556	HSALNG0013713	N.A.	chr2	26236454	26258303	+
ELH001560	HSALNG0013926	NONHSAG078571.1	chr2	29178575	29210685	-
ELH001561	HSALNG0013927	N.A.	chr2	29195705	29239774	+
ELH001562	HSALNG0013928	N.A.	chr2	29239828	29301123	+
ELH001563	HSALNG0013929	NONHSAG027374.2	chr2	29319203	29352359	+
ELH001566	HSALNG0013932	N.A.	chr2	29532117	29547338	+
ELH001567	HSALNG0013938	N.A.	chr2	29714136	29720087	+
ELH001569	HSALNG0013944	NONHSAG079743.2	chr2	29841187	30147798	-
ELH001578	HSALNG0014565	N.A.	chr2	43886044	43886579	+
ELH001579	HSALNG0014569	NONHSAG027618.2	chr2	43995985	43996754	+
ELH001581	HSALNG0014732	NONHSAG027682.2	chr2	47067453	47198470	-
ELH001582	HSALNG0014737	NONHSAG077322.1	chr2	47138008	47217998	+
ELH001583	HSALNG0014738	NONHSAG110158.1	chr2	47160082	47176601	-
ELH001584	HSALNG0014748	N.A.	chr2	47253015	47411003	+
ELH001587	HSALNG0014755	NONHSAG077326.1	chr2	47461754	47467970	+
ELH001588	HSALNG0014756	N.A.	chr2	47480781	47482872	-
ELH001589	HSALNG0014773	NONHSAG078670.1	chr2	47795200	48094487	-
ELH001591	HSALNG0015042	NONHSAG079880.2	chr2	55705395	56386171	+
ELH001593	HSALNG0015050	NONHSAG079880.2	chr2	55805662	56035156	+
ELH001594	HSALNG0015052	NONHSAG078698.1	chr2	55816695	55900830	-
ELH001595	HSALNG0015119	N.A.	chr2	58160187	58161525	+
ELH001596	HSALNG0015120	N.A.	chr2	58192325	58223086	+
ELH001598	HSALNG0015121	NONHSAG077367.1	chr2	58241349	58241686	+
ELH001601	HSALNG0015359	NONHSAG109794.1	chr2	62224995	62673770	+
ELH001602	HSALNG0015380	NONHSAG078741.1	chr2	62441137	62516231	-
ELH001605	HSALNG0015737	NONHSAG109806.1	chr2	69437082	69438252	+
ELH001611	HSALNG0015865	NONHSAG028141.3	chr2	71082537	71182251	+
ELH001612	HSALNG0015867	NONHSAG028142.2	chr2	71110765	71130220	-
ELH001613	HSALNG0015917	NONHSAG028159.3	chr2	72142868	72147582	+
ELH001615	HSALNG0016501	NONHSAG077518.1	chr2	85543002	85545273	+
ELH001626	HSALNG0017033	N.A.	chr2	96248582	96272870	-
ELH001629	HSALNG0017165	N.A.	chr2	97711987	97717210	-
ELH001630	HSALNG0017166	N.A.	chr2	97735468	97736811	-
ELH001426	HSALNG0017577	NONHSAG078934.1	chr2	105359288	105388845	-
ELH001428	HSALNG0017579	NONHSAG028820.2	chr2	105363038	105378842	+
ELH001429	HSALNG0017683	NONHSAG028857.2	chr2	107370583	107753888	-
ELH001430	HSALNG0017686	NONHSAG080253.2	chr2	107534180	107584273	-
ELH001441	HSALNG0018028	NONHSAG078983.2	chr2	113055680	113375557	-
ELH001443	HSALNG0018031	NONHSAG078980.1	chr2	113131056	113133279	-
ELH001469	HSALNG0020385	NONHSAG079231.2	chr2	172464229	172558707	-
ELH001470	HSALNG0020486	NONHSAG077962.1	chr2	174255387	174483070	+
ELH001472	HSALNG0020501	NONHSAG029873.2	chr2	174531973	174847133	+
ELH001474	HSALNG0020508	NONHSAG029880.2	chr2	174757643	174759602	-
ELH001479	HSALNG0020713	NONHSAG029956.2	chr2	178521183	178779963	+
ELH001480	HSALNG0020714	NONHSAG078006.1	chr2	178525990	178527026	+
ELH001481	HSALNG0020715	NONHSAG079275.1	chr2	178539247	178539547	-
ELH001482	HSALNG0020716	NONHSAG029957.2	chr2	178548884	178550681	+
ELH001485	HSALNG0020717	NONHSAG029959.2	chr2	178577103	178577622	+
ELH001488	HSALNG0020718	NONHSAG029961.2	chr2	178616581	178617123	+
ELH001489	HSALNG0020719	NONHSAG029962.2	chr2	178624448	178624720	+
ELH001491	HSALNG0020721	NONHSAG029964.2	chr2	178649283	178679393	-
ELH001492	HSALNG0020723	NONHSAG029965.2	chr2	178723252	178727046	+
ELH001494	HSALNG0020724	N.A.	chr2	178784900	178788295	+
ELH001498	HSALNG0020983	N.A.	chr2	186848857	186853784	+
ELH001499	HSALNG0021026	NONHSAG079297.1	chr2	188966458	188984800	-
ELH001502	HSALNG0021028	N.A.	chr2	188994064	188995767	-
ELH001506	HSALNG0021030	N.A.	chr2	189007611	189010356	-
ELH001508	HSALNG0021036	N.A.	chr2	189100347	189179806	-
ELH001509	HSALNG0021079	NONHSAG079300.1	chr2	189852771	189879675	-
ELH001511	HSALNG0021081	NONHSAG079301.1	chr2	189863659	189869815	-
ELH001517	HSALNG0021618	NONHSAG110425.1	chr2	202371614	202376947	-
ELH001520	HSALNG0021620	NONHSAG078096.1	chr2	202451765	202475917	+
ELH001521	HSALNG0021624	N.A.	chr2	202521213	202551118	-
ELH001522	HSALNG0021625	NONHSAG079342.1	chr2	202527357	202533730	-
ELH001523	HSALNG0021626	NONHSAG078097.1	chr2	202551872	202565848	+
ELH001526	HSALNG0021783	NONHSAG078112.1	chr2	206121314	206123338	+
ELH001527	HSALNG0021784	NONHSAG079358.1	chr2	206121763	206127377	-
ELH001530	HSALNG0022054	NONHSAG030440.3	chr2	214809183	215085488	+
ELH001535	HSALNG0022376	NONHSAG078178.1	chr2	219395231	219422930	+
ELH001537	HSALNG0022378	NONHSAG030583.2	chr2	219421436	219426734	+
ELH001540	HSALNG0022515	N.A.	chr2	222155233	222259924	+
ELH001542	HSALNG0022875	NONHSAG030739.3	chr2	230443107	230580006	-
ELH001789	HSALNG0024085	N.A.	chr3	10042614	10048059	+
ELH001790	HSALNG0024087	N.A.	chr3	10081320	10108223	-
ELH001794	HSALNG0024091	NONHSAG085333.1	chr3	10148326	10153664	-
ELH001810	HSALNG0024214	NONHSAG085347.1	chr3	12430223	12438733	-
ELH001824	HSALNG0024317	N.A.	chr3	14141443	14144509	-
ELH001826	HSALNG0024318	NONHSAG034492.3	chr3	14144637	14165978	+
ELH001864	HSALNG0024918	NONHSAG111452.1	chr3	30603886	30606564	-
ELH001870	HSALNG0024921	NONHSAG084533.1	chr3	30670453	30674301	+
ELH001873	HSALNG0025161	N.A.	chr3	37011419	37046645	+
ELH001876	HSALNG0025384	NONHSAG034846.2	chr3	41239184	41240443	+
ELH001880	HSALNG0025908	NONHSAG111489.1	chr3	49095933	49098959	-
ELH001881	HSALNG0025942	N.A.	chr3	49416834	49422172	-
ELH001882	HSALNG0025982	NONHSAG035096.2	chr3	49899145	49925038	+
ELH001885	HSALNG0026147	N.A.	chr3	52407179	52408047	-
ELH001886	HSALNG0026148	N.A.	chr3	52408688	52409676	+
ELH001887	HSALNG0026167	N.A.	chr3	52536628	52579104	+
ELH001891	HSALNG0026384	N.A.	chr3	57902659	57920752	-
ELH001892	HSALNG0026453	NONHSAG035287.2	chr3	59050164	59882128	+
ELH001896	HSALNG0026690	NONHSAG085571.1	chr3	69000976	69004709	-
ELH001898	HSALNG0026713	N.A.	chr3	69859187	69888634	-
ELH001899	HSALNG0026932	NONHSAG035456.3	chr3	75672100	75742048	+
ELH001901	HSALNG0027090	NONHSAG111275.1	chr3	81761307	81761666	+
ELH001905	HSALNG0027335	N.A.	chr3	93997253	94003967	+
ELH001798	HSALNG0028306	N.A.	chr3	119402311	119418215	-
ELH001799	HSALNG0028322	N.A.	chr3	119498532	119517315	+
ELH001800	HSALNG0028482	NONHSAG085708.2	chr3	122254321	122306508	-
ELH001801	HSALNG0028546	NONHSAG035914.3	chr3	123584697	123659511	+
ELH001804	HSALNG0028550	NONHSAG035919.2	chr3	123688623	123718005	+
ELH001807	HSALNG0028551	N.A.	chr3	123733044	123737047	+
ELH001813	HSALNG0028792	N.A.	chr3	128394566	128411744	-
ELH001815	HSALNG0028800	NONHSAG084937.2	chr3	128488630	128541828	+
ELH001818	HSALNG0029035	NONHSAG036115.2	chr3	132721750	132874660	+
ELH001822	HSALNG0029176	NONHSAG111598.1	chr3	136249754	136250543	-
ELH001823	HSALNG0029178	NONHSAG084979.1	chr3	136327618	136330169	+
ELH001829	HSALNG0029448	NONHSAG085011.1	chr3	142447861	142462090	+
ELH001830	HSALNG0029451	NONHSAG036263.2	chr3	142465315	142472337	-
ELH001831	HSALNG0029454	N.A.	chr3	142476827	142493176	+
ELH001840	HSALNG0030575	NONHSAG036612.2	chr3	169477719	169663649	-
ELH001842	HSALNG0030661	NONHSAG087056.2	chr3	170908744	171206327	+
ELH001847	HSALNG0031198	NONHSAG085975.2	chr3	184074024	184217361	-
ELH001852	HSALNG0031521	N.A.	chr3	189846174	189869492	-
ELH001961	HSALNG0032602	N.A.	chr4	5562563	5568483	-
ELH001926	HSALNG0033040	N.A.	chr4	15004844	15545695	-
ELH001932	HSALNG0033091	NONHSAG037559.2	chr4	16178939	16186814	+
ELH001946	HSALNG0033474	NONHSAG112033.1	chr4	26315313	26320900	-
ELH001947	HSALNG0033475	N.A.	chr4	26357526	26399697	-
ELH001951	HSALNG0034066	NONHSAG037827.2	chr4	41746303	41855261	+
ELH001955	HSALNG0034261	NONHSAG037891.2	chr4	47913806	48014696	+
ELH001957	HSALNG0034438	NONHSAG037946.2	chr4	53496325	53549905	+
ELH001959	HSALNG0034470	NONHSAG087563.1	chr4	54230137	54261260	+
ELH001960	HSALNG0034490	N.A.	chr4	54733334	54753412	-
ELH001965	HSALNG0034789	NONHSAG038060.2	chr4	64276473	64309931	-
ELH001972	HSALNG0035394	N.A.	chr4	78510483	78511369	-
ELH001973	HSALNG0035589	NONHSAG038343.2	chr4	83468752	83470462	+
ELH001975	HSALNG0035744	NONHSAG088421.1	chr4	88262036	88265054	-
ELH001976	HSALNG0035746	NONHSAG038397.2	chr4	88268740	88284694	-
ELH001977	HSALNG0035772	N.A.	chr4	88757853	88787748	+
ELH001910	HSALNG0036166	N.A.	chr4	105168197	105352986	-
ELH001912	HSALNG0036347	N.A.	chr4	109912891	109922243	+
ELH001916	HSALNG0036491	NONHSAG038676.2	chr4	112973272	113072410	-
