chr	start	end	target	0	strand
chr3	151751443	151928175	AADACL2-AS1	0	-
chr19	35769144	35771028	AC002398.13	0	-
chr22	21031357	21043969	AC002472.11	0	+
chr7	11406955	11414078	AC004160.4	0	+
chr22	19171395	19172839	AC004463.6	0	+
chr22	19124309	19128449	AC004471.10	0	-
chr22	19121529	19124503	AC004471.9	0	+
chr7	2384121	2388597	AC004840.8	0	+
chr7	99013165	99048240	AC004893.11	0	+
chr2	241351340	241353104	AC005104.3	0	-
chr19	18568506	18569375	AC005253.4	0	-
chr19	1321225	1322846	AC005330.2	0	+
chr19	4785120	4791207	AC005523.3	0	-
chr19	18940322	18946831	AC005932.1	0	+
chr22	20062980	20070543	AC006547.13	0	-
chr7	8262233	8262821	AC007009.1	0	+
chr22	20522070	20523870	AC007050.17	0	-
chr22	20889206	20891214	AC007308.7	0	-
chr2	170816293	170818037	AC007405.8	0	-
chr2	216799608	216805335	AC007563.3	0	+
chr7	92457564	92491610	AC007566.10	0	+
chr5	157682985	157690266	AC008694.3	0	-
chr16	29806496	29807732	AC009133.15	0	-
chr2	161244739	161249050	AC009299.3	0	+
chr17	28749731	28750079	AC010761.10	0	-
chr2	105324210	105330529	AC012360.4	0	+
chr2	130530275	130537182	AC013269.4	0	+
chr19	58559129	58574797	AC016629.8	0	+
chr2	43001355	43006060	AC016735.1	0	-
chr2	100993676	101002244	AC016738.4	0	-
chr2	111491273	111510990	AC017002.1	0	+
chr7	44064908	44066079	AC017116.11	0	+
chr19	49859882	49860514	AC018766.4	0	-
chr19	49852887	49854967	AC018766.6	0	-
chr2	108167748	108217841	AC019100.3	0	-
chr3	197660565	197665757	AC024560.2	0	-
chr12	57612118	57619638	AC025165.8	0	-
chr5	66144156	66144795	AC025442.3	0	-
chr16	31487370	31488492	AC026471.6	0	-
chr17	78315729	78347798	AC061992.2	0	+
chr2	121081437	121088726	AC067960.1	0	-
chr19	44023604	44025262	AC067968.3	0	-
chr19	38535517	38537128	AC067969.2	0	-
chr2	177264359	177265515	AC079305.10;LH08996	0	+
chr2	100669892	100676038	AC092168.3	0	-
chr2	69700192	69713847	AC092431.3	0	-
chr7	47621939	47629893	AC095067.1	0	+
chr2	132285795	132294377	AC097532.2	0	-
chr7	1459937	1464008	AC102953.4	0	+
chr2	131829801	131832031	AC103564.7	0	-
chr2	85815130	85825391	AC105053.3	0	+
chr11	3189546	3189929	AC108448.3	0	+
chr2	3531813	3536873	AC108488.4	0	-
chr17	5019214	5020093	AC109333.10	0	-
chr3	195912049	195913986	AC124944.3	0	+
chr3	195836193	195860404	AC124944.5	0	-
chr3	197445061	197458323	AC128709.3	0	-
chr16	30948386	30956511	AC135048.13	0	+
chr17	81941869	81947601	AC137723.5	0	+
chr16	89268104	89273044	AC137932.4	0	+
