Lncbook_id,Noncode_id,UID,Lncbook_trans_id,chr,start,end,strand,exon_num,exon_pos,NONCODE_TRANSCRIPT_ID,transcript_id,Organism
HSALNG0000229,NONHSAG057419.1,ELH000147,HSALNT0000555,chr1,2189825,2235354,-,2,"2189825-2191529,2235256-2235354",,HSALNT0000555,Human
HSALNG0000754,,ELH000004,HSALNT0001568,chr1,10247242,10260138,-,2,"10247242-10248899,10259833-10260138",,HSALNT0001568,Human
HSALNG0000758,,ELH000006,HSALNT0001572,chr1,10339025,10354118,-,2,"10339025-10339076,10353447-10354118",,HSALNT0001572,Human
HSALNG0000760,,ELH000007,HSALNT0001574,chr1,10357989,10361459,-,2,"10357989-10359155,10361421-10361459",,HSALNT0001574,Human
HSALNG0000760,,ELH000007,HSALNT0290232,chr1,10357983,10366610,-,3,"10357983-10359155,10361421-10361466,10366381-10366610",,HSALNT0290232,Human
HSALNG0000760,,ELH000007,HSALNT0290233,chr1,10358001,10366735,-,3,"10366381-10366735,10361421-10361466,10358001-10359155",,HSALNT0290233,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0001575,chr1,10368416,10398636,-,7,"10368416-10368532,10376641-10376809,10378027-10378118,10378312-10378581,10378646-10378767,10396604-10396641,10398491-10398636",,HSALNT0001575,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0001576,chr1,10377471,10398831,-,2,"10377471-10378766,10398490-10398831",,HSALNT0001576,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0001577,chr1,10382187,10384003,-,2,"10382187-10382530,10382870-10384003",,HSALNT0001577,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0001582,chr1,10395891,10397682,-,2,"10395891-10396636,10396937-10397682",,HSALNT0001582,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0290234,chr1,10382132,10398831,-,2,"10382132-10385985,10386815-10398831",,HSALNT0290234,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0290235,chr1,10373663,10398831,-,1,10373663-10398831,,HSALNT0290235,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0290236,chr1,10384628,10387150,-,2,"10386103-10387150,10384628-10384971",,HSALNT0290236,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0290237,chr1,10381906,10386541,-,2,"10386239-10386541,10381906-10382001",,HSALNT0290237,Human
HSALNG0000761,NONHSAG057488.2,ELH000008,HSALNT0290238,chr1,10381978,10383105,-,2,"10382236-10383105,10381978-10382024",,HSALNT0290238,Human
HSALNG0001268,,ELH000088,HSALNT0002408,chr1,17373170,17377477,-,2,"17373170-17373368,17377281-17377477",,HSALNT0002408,Human
HSALNG0001461,NONHSAG000579.3,ELH000130,HSALNT0002762,chr1,20650363,20650714,-,1,20650363-20650714,,HSALNT0002762,Human
HSALNG0001461,NONHSAG000579.3,ELH000130,HSALNT0289387,chr1,20642657,20652193,-,3,"20642657-20643118,20645585-20645686,20648315-20652193",,HSALNT0289387,Human
HSALNG0001461,NONHSAG000579.3,ELH000130,HSALNT0290648,chr1,20642657,20652210,-,3,"20642657-20643118,20645585-20645686,20648315-20652210",,HSALNT0290648,Human
HSALNG0001515,,ELH000135,HSALNT0002853,chr1,21440150,21457172,+,3,"21440150-21440348,21444948-21445219,21454856-21457172",,HSALNT0002853,Human
HSALNG0001533,,ELH000137,HSALNT0002878,chr1,21819823,21823488,+,3,"21819823-21822676,21822752-21822764,21823200-21823488",,HSALNT0002878,Human
HSALNG0001533,,ELH000137,HSALNT0002879,chr1,21819826,21823335,+,2,"21819826-21822188,21822239-21823335",,HSALNT0002879,Human
HSALNG0001533,,ELH000137,HSALNT0002881,chr1,21821596,21823342,+,3,"21821596-21821611,21821724-21821921,21822202-21823342",,HSALNT0002881,Human
HSALNG0001535,NONHSAG105321.1,ELH000140,HSALNT0002883,chr1,21835153,21836917,-,2,"21835153-21835637,21836802-21836917",,HSALNT0002883,Human
HSALNG0001536,,ELH000144,HSALNT0002884,chr1,21852560,21856151,+,5,"21852560-21854008,21854298-21854364,21854837-21854992,21855338-21855902,21856004-21856151",,HSALNT0002884,Human
HSALNG0001536,,ELH000144,HSALNT0002885,chr1,21852560,21856151,+,5,"21852560-21854009,21854298-21854364,21854837-21854992,21855338-21855902,21856004-21856151",,HSALNT0002885,Human
HSALNG0001536,,ELH000144,HSALNT0002886,chr1,21852577,21856151,+,4,"21852577-21852830,21853254-21854364,21854837-21855902,21856004-21856151",,HSALNT0002886,Human
HSALNG0001536,,ELH000144,HSALNT0002887,chr1,21852577,21856151,+,3,"21852577-21854364,21854837-21855902,21856004-21856151",,HSALNT0002887,Human
HSALNG0001537,,ELH000145,HSALNT0002888,chr1,21857015,21860229,-,5,"21857015-21857195,21857277-21857385,21859566-21859676,21859835-21860002,21860177-21860229",,HSALNT0002888,Human
HSALNG0001538,NONHSAG000616.2,ELH000146,HSALNT0002889,chr1,21872630,21874537,-,5,"21872630-21872760,21872997-21873091,21873375-21873424,21873925-21874011,21874406-21874537",,HSALNT0002889,Human
